"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","three",1,5,2.33,0.31,12.46,0,1,0.49
"NC uniform stem","two",1,5,2.47,0.29,12.6,0.14,0.93,0.46
"NC uniform stem","one",1,5,7.99,0.02,18.12,5.66,0.06,0.03
"NC uniform stem","four",1,5,8.92,0.01,19.05,6.59,0.04,0.02
"NC uniform crown","two",1,5,0.84,0.66,10.97,0,1,0.91
"NC uniform crown","one",1,5,5.77,0.06,15.9,4.93,0.09,0.08
"NC uniform crown","three",1,5,11.48,0,21.6,10.64,0,0
"NC uniform crown","four",1,5,12.4,0,22.53,11.56,0,0
"FBD stem","two",1,5,2.73,0.26,12.86,0,1,0.49
"FBD stem","three",1,5,2.84,0.24,12.97,0.11,0.95,0.46
"FBD stem","one",1,5,8.31,0.02,18.44,5.58,0.06,0.03
"FBD stem","four",1,5,8.52,0.01,18.65,5.8,0.06,0.03
"FBD crown","three",1,5,2.26,0.32,12.38,0,1,0.53
"FBD crown","two",1,5,2.65,0.27,12.78,0.39,0.82,0.43
"FBD crown","one",1,5,8.62,0.01,18.74,6.36,0.04,0.02
"FBD crown","four",1,5,9.42,0.01,19.54,7.16,0.03,0.01
