"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Tree","Region"
"CS_affects_WP",0.91,0.14,0.64,1.17,"NCuniform_stem","Global"
"Climate_affects_WP",0,0,0,0,"NCuniform_stem","Global"
"WP_affects_Climate",0.38,0.12,0.16,0.61,"NCuniform_stem","Global"
"CS_affects_Climate",0,0,0,0,"NCuniform_stem","Global"
"Climate_affects_CS",0.07,0.04,0,0.15,"NCuniform_stem","Global"
"CS_affects_WP",0.84,0.12,0.61,1.08,"NCuniform_crown","Global"
"Climate_affects_WP",0,0,0,0,"NCuniform_crown","Global"
"WP_affects_Climate",0.4,0.11,0.18,0.62,"NCuniform_crown","Global"
"CS_affects_Climate",0,0,0,0,"NCuniform_crown","Global"
"Climate_affects_CS",0,0,0,0,"NCuniform_crown","Global"
"CS_affects_WP",1.01,0.15,0.71,1.3,"FBD_stem","Global"
"Climate_affects_WP",0,0,0,0,"FBD_stem","Global"
"WP_affects_Climate",0.37,0.11,0.15,0.59,"FBD_stem","Global"
"CS_affects_Climate",0,0,0,0,"FBD_stem","Global"
"Climate_affects_CS",0.07,0.04,0,0.15,"FBD_stem","Global"
"CS_affects_WP",0.87,0.13,0.62,1.12,"FBD_crown","Global"
"Climate_affects_WP",0,0,0,0,"FBD_crown","Global"
"WP_affects_Climate",0.4,0.12,0.17,0.62,"FBD_crown","Global"
"CS_affects_Climate",0,0,0,0,"FBD_crown","Global"
"Climate_affects_CS",0.08,0.04,0,0.15,"FBD_crown","Global"
"CS_affects_WP",1.15,0.28,0.6,1.69,"NCuniform_stem","Tropical"
"Climate_affects_WP",0.14,0.25,-0.36,0.64,"NCuniform_stem","Tropical"
"WP_affects_Climate",0.21,0.21,-0.19,0.62,"NCuniform_stem","Tropical"
"CS_affects_Climate",0.1,0.09,-0.08,0.28,"NCuniform_stem","Tropical"
"Climate_affects_CS",0.04,0.06,-0.07,0.16,"NCuniform_stem","Tropical"
"CS_affects_WP",1.11,0.27,0.58,1.64,"NCuniform_crown","Tropical"
"Climate_affects_WP",0,0,0,0,"NCuniform_crown","Tropical"
"WP_affects_Climate",0.26,0.21,-0.15,0.67,"NCuniform_crown","Tropical"
"CS_affects_Climate",0.11,0.09,-0.07,0.29,"NCuniform_crown","Tropical"
"Climate_affects_CS",0.06,0.06,-0.07,0.18,"NCuniform_crown","Tropical"
"CS_affects_WP",1.13,0.27,0.59,1.67,"FBD_stem","Tropical"
"Climate_affects_WP",0.08,0.24,-0.39,0.55,"FBD_stem","Tropical"
"WP_affects_Climate",0.22,0.21,-0.18,0.63,"FBD_stem","Tropical"
"CS_affects_Climate",0.1,0.09,-0.08,0.29,"FBD_stem","Tropical"
"Climate_affects_CS",0.07,0.06,-0.05,0.19,"FBD_stem","Tropical"
"CS_affects_WP",1.1,0.27,0.57,1.62,"FBD_crown","Tropical"
"Climate_affects_WP",0,0,0,0,"FBD_crown","Tropical"
"WP_affects_Climate",0.22,0.21,-0.19,0.63,"FBD_crown","Tropical"
"CS_affects_Climate",0.1,0.09,-0.08,0.28,"FBD_crown","Tropical"
"Climate_affects_CS",0.08,0.06,-0.05,0.2,"FBD_crown","Tropical"
"CS_affects_WP",0.7,0.18,0.35,1.05,"NCuniform_stem","Temperate"
"Climate_affects_WP",0.01,0.13,-0.25,0.27,"NCuniform_stem","Temperate"
"WP_affects_Climate",0.4,0.17,0.07,0.73,"NCuniform_stem","Temperate"
"CS_affects_Climate",0,0,0,0,"NCuniform_stem","Temperate"
"Climate_affects_CS",0.04,0.08,-0.1,0.19,"NCuniform_stem","Temperate"
"CS_affects_WP",0.73,0.18,0.36,1.09,"NCuniform_crown","Temperate"
"Climate_affects_WP",0.18,0.14,-0.1,0.46,"NCuniform_crown","Temperate"
"WP_affects_Climate",0,0,0,0,"NCuniform_crown","Temperate"
"CS_affects_Climate",0,0,0,0,"NCuniform_crown","Temperate"
"Climate_affects_CS",0,0,0,0,"NCuniform_crown","Temperate"
"CS_affects_WP",0.65,0.16,0.33,0.97,"FBD_stem","Temperate"
"Climate_affects_WP",0.01,0.13,-0.24,0.25,"FBD_stem","Temperate"
"WP_affects_Climate",0.33,0.16,0,0.65,"FBD_stem","Temperate"
"CS_affects_Climate",0,0,0,0,"FBD_stem","Temperate"
"Climate_affects_CS",0,0.07,-0.14,0.14,"FBD_stem","Temperate"
"CS_affects_WP",0.7,0.17,0.36,1.04,"FBD_crown","Temperate"
"Climate_affects_WP",0.14,0.14,-0.14,0.41,"FBD_crown","Temperate"
"WP_affects_Climate",0.39,0.17,0.06,0.73,"FBD_crown","Temperate"
"CS_affects_Climate",0,0,0,0,"FBD_crown","Temperate"
"Climate_affects_CS",0.02,0.07,-0.13,0.16,"FBD_crown","Temperate"
"CS_affects_WP",1,0.22,0.58,1.43,"NCuniform_stem","Both"
"Climate_affects_WP",0,0,0,0,"NCuniform_stem","Both"
"WP_affects_Climate",0.69,0.17,0.35,1.02,"NCuniform_stem","Both"
"CS_affects_Climate",0,0,0,0,"NCuniform_stem","Both"
"Climate_affects_CS",0,0,0,0,"NCuniform_stem","Both"
"CS_affects_WP",1.04,0.24,0.56,1.52,"NCuniform_crown","Both"
"Climate_affects_WP",0.2,0.16,-0.12,0.52,"NCuniform_crown","Both"
"WP_affects_Climate",0.57,0.16,0.26,0.88,"NCuniform_crown","Both"
"CS_affects_Climate",0,0,0,0,"NCuniform_crown","Both"
"Climate_affects_CS",0.1,0.06,-0.02,0.22,"NCuniform_crown","Both"
"CS_affects_WP",1.01,0.22,0.58,1.43,"FBD_stem","Both"
"Climate_affects_WP",0,0,0,0,"FBD_stem","Both"
"WP_affects_Climate",0.68,0.17,0.34,1.01,"FBD_stem","Both"
"CS_affects_Climate",0,0,0,0,"FBD_stem","Both"
"Climate_affects_CS",0,0,0,0,"FBD_stem","Both"
"CS_affects_WP",0.99,0.22,0.57,1.42,"FBD_crown","Both"
"Climate_affects_WP",0,0,0,0,"FBD_crown","Both"
"WP_affects_Climate",0.68,0.17,0.34,1.02,"FBD_crown","Both"
"CS_affects_Climate",0,0,0,0,"FBD_crown","Both"
"Climate_affects_CS",0,0,0,0,"FBD_crown","Both"
