"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Tree"
"CS_affects_WP",1.02,0.22,0.58,1.46,"NCuniform_stem"
"Climate_affects_WP",0.21,0.16,-0.1,0.52,"NCuniform_stem"
"WP_affects_Climate",-0.02,0.17,-0.36,0.31,"NCuniform_stem"
"CS_affects_Climate",-0.02,0.08,-0.19,0.14,"NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"NCuniform_stem"
"CS_affects_WP",0.99,0.22,0.56,1.42,"NCuniform_crown"
"Climate_affects_WP",0.13,0.16,-0.18,0.44,"NCuniform_crown"
"WP_affects_Climate",-0.13,0.17,-0.47,0.2,"NCuniform_crown"
"CS_affects_Climate",-0.04,0.08,-0.19,0.12,"NCuniform_crown"
"Climate_affects_CS",-0.04,0.07,-0.18,0.11,"NCuniform_crown"
"CS_affects_WP",1.02,0.22,0.58,1.46,"FBD_stem"
"Climate_affects_WP",0.23,0.16,-0.08,0.54,"FBD_stem"
"WP_affects_Climate",-0.03,0.17,-0.37,0.31,"FBD_stem"
"CS_affects_Climate",-0.03,0.08,-0.18,0.13,"FBD_stem"
"Climate_affects_CS",0,0,0,0,"FBD_stem"
"CS_affects_WP",1,0.22,0.56,1.43,"FBD_crown"
"Climate_affects_WP",0.21,0.16,-0.1,0.52,"FBD_crown"
"WP_affects_Climate",-0.02,0.17,-0.36,0.32,"FBD_crown"
"CS_affects_Climate",-0.04,0.08,-0.2,0.11,"FBD_crown"
"Climate_affects_CS",0,0,0,0,"FBD_crown"
