"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","three",1,5,0.95,0.62,11.49,0,1,0.31
"NC uniform stem","four",1,5,1.07,0.58,11.62,0.13,0.94,0.29
"NC uniform stem","two",1,5,1.27,0.53,11.82,0.33,0.85,0.26
"NC uniform stem","one",1,5,2.52,0.28,13.06,1.57,0.46,0.14
"NC uniform crown","three",1,5,0.17,0.92,10.72,0,1,0.43
"NC uniform crown","two",1,5,1.3,0.52,11.84,1.13,0.57,0.24
"NC uniform crown","four",1,5,1.55,0.46,12.09,1.37,0.5,0.22
"NC uniform crown","one",1,5,2.92,0.23,13.47,2.75,0.25,0.11
"FBD stem","three",1,5,0.68,0.71,11.23,0,1,0.34
"FBD stem","four",1,5,1.17,0.56,11.72,0.49,0.78,0.27
"FBD stem","two",1,5,1.28,0.53,11.83,0.6,0.74,0.26
"FBD stem","one",1,5,2.61,0.27,13.15,1.92,0.38,0.13
"FBD crown","three",1,5,0.43,0.81,10.98,0,1,0.37
"FBD crown","four",1,5,1.14,0.56,11.69,0.71,0.7,0.26
"FBD crown","two",1,5,1.28,0.53,11.83,0.85,0.65,0.24
"FBD crown","one",1,5,2.58,0.28,13.12,2.15,0.34,0.13
