"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","three",1,5,0.09,0.96,10.63,0,1,0.32
"NC uniform stem","four",1,5,0.38,0.83,10.92,0.29,0.86,0.27
"NC uniform stem","one",1,5,0.9,0.64,11.45,0.81,0.67,0.21
"NC uniform stem","two",1,5,1,0.61,11.54,0.91,0.63,0.2
"NC uniform crown","four",1,5,0,1,10.55,0,1,0.36
"NC uniform crown","three",1,5,0.82,0.66,11.36,0.81,0.67,0.24
"NC uniform crown","two",1,5,1.1,0.58,11.65,1.1,0.58,0.21
"NC uniform crown","one",1,5,1.35,0.51,11.89,1.34,0.51,0.19
"FBD stem","four",1,5,0.25,0.88,10.79,0,1,0.31
"FBD stem","three",1,5,0.48,0.79,11.02,0.23,0.89,0.28
"FBD stem","two",1,5,1.03,0.6,11.58,0.78,0.68,0.21
"FBD stem","one",1,5,1.04,0.59,11.59,0.79,0.67,0.21
"FBD crown","four",1,5,0.29,0.87,10.83,0,1,0.31
"FBD crown","three",1,5,0.61,0.74,11.15,0.32,0.85,0.26
"FBD crown","one",1,5,1,0.61,11.54,0.71,0.7,0.22
"FBD crown","two",1,5,1.02,0.6,11.57,0.74,0.69,0.21
