TreeID,TMP_RandomR2,PRE_RandomR2,DTR_RandomR2
1,0.105,0.316,0.119
2,0.085,0.278,0.078
3,0.098,0.287,0.106
4,0.09,0.274,0.105
5,0.083,0.295,0.071
6,0.09,0.305,0.099
7,0.105,0.295,0.094
8,0.088,0.275,0.074
9,0.088,0.282,0.096
10,0.086,0.288,0.091
11,0.086,0.276,0.093
12,0.092,0.288,0.103
13,0.109,0.312,0.104
14,0.075,0.264,0.09
15,0.094,0.291,0.105
16,0.081,0.275,0.099
17,0.089,0.289,0.096
18,0.082,0.303,0.103
19,0.094,0.284,0.107
20,0.098,0.31,0.099
21,0.086,0.297,0.107
22,0.1,0.315,0.119
23,0.084,0.295,0.088
24,0.083,0.275,0.07
25,0.099,0.308,0.097
26,0.089,0.314,0.122
27,0.093,0.316,0.108
28,0.079,0.271,0.063
29,0.088,0.312,0.104
30,0.11,0.299,0.109
31,0.098,0.292,0.097
32,0.102,0.307,0.135
33,0.09,0.275,0.112
34,0.082,0.274,0.076
35,0.097,0.287,0.099
36,0.094,0.305,0.096
37,0.091,0.285,0.096
38,0.09,0.308,0.101
39,0.08,0.28,0.072
40,0.109,0.302,0.127
41,0.086,0.278,0.068
42,0.102,0.284,0.105
43,0.095,0.278,0.072
44,0.104,0.316,0.105
45,0.091,0.298,0.081
46,0.088,0.31,0.127
47,0.101,0.28,0.103
48,0.096,0.276,0.073
49,0.088,0.275,0.067
50,0.074,0.266,0.06
51,0.075,0.278,0.07
52,0.084,0.28,0.082
53,0.09,0.291,0.089
54,0.095,0.296,0.094
55,0.104,0.275,0.076
56,0.084,0.27,0.074
57,0.095,0.298,0.074
58,0.098,0.286,0.091
59,0.082,0.283,0.08
60,0.084,0.327,0.14
61,0.09,0.284,0.076
62,0.093,0.278,0.078
63,0.084,0.278,0.084
64,0.106,0.289,0.085
65,0.098,0.294,0.086
66,0.087,0.291,0.087
67,0.081,0.27,0.073
68,0.084,0.284,0.08
69,0.087,0.282,0.112
70,0.089,0.293,0.129
71,0.087,0.281,0.093
72,0.089,0.294,0.096
73,0.078,0.285,0.088
74,0.097,0.3,0.111
75,0.096,0.295,0.077
76,0.092,0.289,0.103
77,0.091,0.273,0.087
78,0.088,0.295,0.104
79,0.094,0.281,0.08
80,0.103,0.29,0.104
81,0.103,0.289,0.109
82,0.085,0.269,0.081
83,0.087,0.305,0.082
84,0.089,0.28,0.084
85,0.103,0.282,0.087
86,0.074,0.284,0.106
87,0.09,0.301,0.117
88,0.088,0.303,0.102
89,0.099,0.313,0.101
90,0.095,0.275,0.088
91,0.089,0.288,0.097
92,0.096,0.305,0.098
93,0.085,0.277,0.074
94,0.086,0.268,0.069
95,0.095,0.275,0.088
96,0.089,0.274,0.074
97,0.1,0.318,0.128
98,0.078,0.287,0.098
99,0.088,0.276,0.1
100,0.079,0.271,0.103
101,0.102,0.316,0.102
102,0.094,0.29,0.086
103,0.082,0.285,0.083
104,0.096,0.289,0.099
105,0.095,0.294,0.082
106,0.106,0.318,0.118
107,0.092,0.282,0.081
108,0.091,0.297,0.085
109,0.098,0.308,0.107
110,0.094,0.281,0.082
111,0.087,0.284,0.074
112,0.092,0.3,0.105
113,0.095,0.3,0.104
114,0.094,0.306,0.096
115,0.095,0.285,0.1
116,0.087,0.282,0.093
117,0.119,0.314,0.11
118,0.085,0.296,0.112
119,0.105,0.307,0.082
120,0.088,0.295,0.095
121,0.096,0.299,0.087
122,0.096,0.293,0.095
123,0.091,0.313,0.114
124,0.091,0.279,0.07
125,0.1,0.313,0.112
126,0.097,0.294,0.097
127,0.089,0.29,0.094
128,0.08,0.28,0.094
129,0.091,0.311,0.11
130,0.082,0.268,0.071
131,0.088,0.299,0.117
132,0.096,0.313,0.103
133,0.098,0.28,0.072
134,0.094,0.286,0.09
135,0.093,0.294,0.082
136,0.095,0.313,0.111
137,0.087,0.28,0.089
138,0.102,0.306,0.116
139,0.104,0.3,0.091
140,0.102,0.308,0.102
141,0.094,0.309,0.108
142,0.101,0.291,0.091
143,0.092,0.304,0.096
144,0.096,0.285,0.105
145,0.096,0.287,0.087
146,0.099,0.298,0.087
147,0.091,0.305,0.103
148,0.088,0.285,0.075
149,0.089,0.301,0.118
150,0.092,0.287,0.088
151,0.091,0.3,0.087
152,0.084,0.312,0.093
153,0.107,0.297,0.104
154,0.108,0.31,0.114
155,0.087,0.294,0.094
156,0.101,0.3,0.112
157,0.097,0.294,0.097
158,0.097,0.318,0.111
159,0.108,0.323,0.123
160,0.091,0.281,0.085
161,0.098,0.307,0.106
162,0.093,0.319,0.127
163,0.102,0.304,0.105
164,0.096,0.295,0.086
165,0.096,0.317,0.108
166,0.096,0.321,0.119
167,0.089,0.31,0.098
168,0.092,0.306,0.093
169,0.092,0.315,0.12
170,0.089,0.279,0.081
171,0.093,0.298,0.086
172,0.091,0.295,0.087
173,0.088,0.278,0.076
174,0.098,0.301,0.096
175,0.095,0.313,0.104
176,0.091,0.294,0.099
177,0.088,0.279,0.085
178,0.088,0.284,0.075
179,0.092,0.295,0.088
180,0.102,0.309,0.11
181,0.092,0.304,0.095
182,0.095,0.296,0.098
183,0.098,0.3,0.098
184,0.092,0.291,0.089
185,0.095,0.304,0.087
186,0.096,0.291,0.12
187,0.088,0.292,0.102
188,0.091,0.288,0.104
189,0.096,0.299,0.089
190,0.089,0.301,0.106
191,0.102,0.313,0.112
192,0.092,0.304,0.099
193,0.093,0.304,0.083
194,0.092,0.305,0.096
195,0.1,0.303,0.103
196,0.094,0.304,0.095
197,0.087,0.287,0.116
198,0.088,0.294,0.089
199,0.086,0.282,0.1
200,0.086,0.294,0.083
201,0.094,0.351,0.166
202,0.106,0.3,0.109
203,0.116,0.303,0.102
204,0.127,0.304,0.14
205,0.093,0.294,0.099
206,0.111,0.318,0.123
207,0.107,0.319,0.128
208,0.097,0.32,0.156
209,0.096,0.283,0.112
210,0.117,0.339,0.163
211,0.108,0.279,0.098
212,0.106,0.303,0.112
213,0.1,0.285,0.1
214,0.097,0.305,0.098
215,0.093,0.281,0.104
216,0.108,0.328,0.156
217,0.117,0.309,0.119
218,0.094,0.303,0.095
219,0.141,0.332,0.12
220,0.102,0.289,0.081
221,0.119,0.323,0.123
222,0.112,0.299,0.089
223,0.105,0.277,0.092
224,0.108,0.309,0.129
225,0.106,0.306,0.096
226,0.128,0.299,0.098
227,0.128,0.32,0.107
228,0.099,0.29,0.107
229,0.094,0.289,0.101
230,0.124,0.335,0.129
231,0.096,0.275,0.079
232,0.102,0.284,0.082
233,0.113,0.297,0.117
234,0.117,0.325,0.134
235,0.107,0.307,0.131
236,0.079,0.273,0.112
237,0.099,0.316,0.113
238,0.108,0.287,0.097
239,0.112,0.31,0.111
240,0.136,0.301,0.109
241,0.108,0.323,0.129
242,0.091,0.299,0.103
243,0.125,0.305,0.092
244,0.109,0.297,0.092
245,0.096,0.327,0.123
246,0.102,0.302,0.095
247,0.088,0.27,0.08
248,0.102,0.3,0.126
249,0.101,0.307,0.117
250,0.103,0.298,0.122
251,0.096,0.314,0.134
252,0.107,0.29,0.1
253,0.107,0.332,0.156
