TreeID,TMP_RandomR2,PRE_RandomR2,DTR_RandomR2
1,0.379,0.29,0.123
2,0.377,0.279,0.115
3,0.374,0.27,0.109
4,0.376,0.28,0.117
5,0.38,0.283,0.108
6,0.385,0.268,0.098
7,0.394,0.302,0.121
8,0.368,0.277,0.112
9,0.384,0.265,0.108
10,0.373,0.265,0.112
11,0.386,0.278,0.108
12,0.37,0.294,0.116
13,0.382,0.29,0.111
14,0.373,0.278,0.11
15,0.379,0.275,0.106
16,0.38,0.277,0.113
17,0.372,0.289,0.11
18,0.369,0.266,0.107
19,0.379,0.28,0.111
20,0.374,0.279,0.126
21,0.372,0.285,0.124
22,0.378,0.286,0.11
23,0.38,0.297,0.113
24,0.372,0.274,0.106
25,0.378,0.274,0.11
26,0.382,0.268,0.119
27,0.385,0.287,0.12
28,0.374,0.283,0.124
29,0.383,0.276,0.115
30,0.38,0.27,0.112
31,0.375,0.278,0.109
32,0.367,0.281,0.114
33,0.38,0.267,0.117
34,0.369,0.276,0.118
35,0.383,0.29,0.128
36,0.372,0.277,0.111
37,0.365,0.296,0.111
38,0.386,0.298,0.124
39,0.378,0.26,0.106
40,0.373,0.271,0.115
41,0.391,0.293,0.124
42,0.373,0.275,0.106
43,0.376,0.276,0.116
44,0.385,0.287,0.125
45,0.376,0.276,0.102
46,0.383,0.278,0.109
47,0.373,0.273,0.119
48,0.384,0.291,0.118
49,0.372,0.274,0.117
50,0.38,0.275,0.109
51,0.375,0.281,0.111
52,0.373,0.272,0.103
53,0.377,0.277,0.115
54,0.371,0.271,0.118
55,0.372,0.281,0.109
56,0.37,0.277,0.114
57,0.372,0.266,0.105
58,0.389,0.292,0.112
59,0.376,0.28,0.122
60,0.365,0.269,0.11
61,0.375,0.265,0.109
62,0.381,0.275,0.116
63,0.382,0.294,0.123
64,0.371,0.28,0.119
65,0.368,0.279,0.11
66,0.373,0.278,0.112
67,0.365,0.275,0.117
68,0.37,0.268,0.114
69,0.386,0.289,0.112
70,0.382,0.277,0.115
71,0.372,0.278,0.126
72,0.37,0.269,0.112
73,0.373,0.283,0.129
74,0.374,0.281,0.118
75,0.379,0.303,0.117
76,0.372,0.278,0.116
77,0.389,0.3,0.131
78,0.375,0.27,0.115
79,0.383,0.294,0.117
80,0.38,0.273,0.117
81,0.377,0.268,0.107
82,0.385,0.281,0.124
83,0.373,0.281,0.119
84,0.381,0.296,0.131
85,0.37,0.288,0.118
86,0.378,0.276,0.107
87,0.383,0.295,0.113
88,0.36,0.266,0.111
89,0.374,0.283,0.118
90,0.382,0.279,0.111
91,0.364,0.285,0.12
92,0.377,0.286,0.13
93,0.386,0.27,0.117
94,0.371,0.267,0.104
95,0.379,0.289,0.118
96,0.376,0.274,0.117
97,0.365,0.292,0.119
98,0.378,0.284,0.114
