TreeID,TMP_RandomR2,PRE_RandomR2,DTR_RandomR2
1,0.164,0.183,0.142
2,0.178,0.188,0.152
3,0.177,0.215,0.135
4,0.191,0.178,0.134
5,0.175,0.143,0.143
6,0.171,0.148,0.129
7,0.181,0.154,0.125
8,0.185,0.139,0.139
9,0.197,0.164,0.131
10,0.166,0.18,0.132
11,0.187,0.135,0.118
12,0.161,0.183,0.139
13,0.177,0.192,0.139
14,0.176,0.187,0.154
15,0.181,0.165,0.146
16,0.18,0.202,0.123
17,0.209,0.182,0.142
18,0.19,0.187,0.148
19,0.169,0.198,0.114
20,0.198,0.192,0.139
21,0.187,0.194,0.144
22,0.192,0.183,0.138
23,0.17,0.154,0.148
24,0.2,0.187,0.128
25,0.193,0.173,0.128
26,0.168,0.179,0.147
27,0.186,0.205,0.129
28,0.176,0.153,0.139
29,0.17,0.192,0.143
30,0.16,0.176,0.131
31,0.185,0.181,0.141
32,0.176,0.176,0.147
33,0.159,0.168,0.128
34,0.178,0.176,0.143
35,0.166,0.163,0.136
36,0.177,0.179,0.151
37,0.188,0.174,0.142
38,0.193,0.211,0.142
39,0.162,0.148,0.136
40,0.189,0.166,0.136
41,0.17,0.174,0.134
42,0.168,0.169,0.152
43,0.188,0.19,0.127
44,0.173,0.176,0.141
45,0.18,0.168,0.14
46,0.163,0.168,0.143
47,0.163,0.182,0.144
48,0.165,0.171,0.123
49,0.185,0.184,0.126
50,0.172,0.152,0.133
51,0.172,0.155,0.141
52,0.173,0.158,0.121
53,0.198,0.16,0.137
54,0.187,0.157,0.13
55,0.186,0.167,0.139
56,0.175,0.168,0.133
57,0.186,0.188,0.118
58,0.173,0.172,0.135
59,0.178,0.16,0.169
60,0.188,0.165,0.132
61,0.171,0.167,0.14
62,0.162,0.176,0.128
63,0.178,0.196,0.141
64,0.178,0.188,0.119
65,0.196,0.194,0.137
66,0.184,0.144,0.129
67,0.155,0.208,0.135
68,0.16,0.157,0.145
69,0.178,0.192,0.125
70,0.199,0.184,0.146
71,0.183,0.193,0.136
72,0.172,0.17,0.132
73,0.177,0.15,0.132
74,0.17,0.201,0.123
75,0.164,0.171,0.154
76,0.187,0.194,0.14
77,0.165,0.178,0.135
78,0.177,0.162,0.122
79,0.201,0.167,0.138
80,0.187,0.209,0.151
81,0.183,0.198,0.137
82,0.168,0.182,0.123
83,0.17,0.166,0.131
84,0.17,0.168,0.147
85,0.167,0.186,0.161
86,0.165,0.154,0.125
87,0.171,0.178,0.14
88,0.173,0.175,0.136
89,0.191,0.184,0.15
90,0.171,0.169,0.154
91,0.192,0.166,0.134
92,0.171,0.178,0.148
93,0.15,0.187,0.124
94,0.163,0.198,0.142
95,0.174,0.164,0.171
96,0.181,0.196,0.141
97,0.187,0.168,0.143
98,0.172,0.19,0.127
99,0.177,0.181,0.14
100,0.169,0.197,0.137
101,0.18,0.187,0.137
102,0.183,0.181,0.141
103,0.21,0.18,0.147
104,0.195,0.178,0.155
105,0.2,0.229,0.152
106,0.185,0.188,0.155
107,0.189,0.193,0.152
108,0.182,0.187,0.15
109,0.182,0.188,0.149
110,0.175,0.183,0.146
111,0.2,0.193,0.137
112,0.195,0.19,0.137
113,0.191,0.19,0.147
114,0.187,0.177,0.139
115,0.179,0.176,0.138
116,0.192,0.2,0.138
117,0.191,0.2,0.146
118,0.179,0.19,0.14
119,0.193,0.168,0.15
120,0.185,0.194,0.148
121,0.183,0.178,0.147
122,0.19,0.196,0.147
123,0.19,0.19,0.141
124,0.199,0.219,0.142
125,0.209,0.195,0.146
126,0.185,0.184,0.159
127,0.194,0.226,0.156
128,0.191,0.194,0.144
129,0.185,0.204,0.139
130,0.206,0.179,0.147
131,0.175,0.206,0.145
132,0.188,0.182,0.146
133,0.193,0.195,0.14
134,0.198,0.178,0.14
135,0.187,0.199,0.144
136,0.189,0.184,0.158
137,0.203,0.191,0.146
138,0.196,0.195,0.145
139,0.217,0.185,0.146
140,0.184,0.179,0.142
141,0.193,0.181,0.137
142,0.201,0.19,0.15
143,0.177,0.182,0.145
144,0.192,0.19,0.15
145,0.184,0.197,0.142
146,0.193,0.191,0.139
147,0.192,0.198,0.164
148,0.19,0.182,0.145
149,0.18,0.179,0.142
150,0.198,0.206,0.141
151,0.187,0.176,0.146
152,0.202,0.24,0.152
153,0.196,0.196,0.14
154,0.186,0.202,0.134
155,0.206,0.186,0.135
156,0.197,0.17,0.133
157,0.188,0.168,0.145
158,0.181,0.17,0.155
159,0.19,0.191,0.142
160,0.194,0.192,0.154
161,0.188,0.19,0.147
162,0.181,0.208,0.139
163,0.19,0.17,0.141
164,0.181,0.186,0.149
165,0.185,0.181,0.145
166,0.2,0.198,0.145
167,0.187,0.171,0.14
168,0.2,0.184,0.134
169,0.181,0.188,0.145
170,0.197,0.177,0.143
171,0.198,0.206,0.144
172,0.194,0.2,0.152
173,0.18,0.183,0.134
174,0.199,0.17,0.141
175,0.206,0.194,0.143
176,0.18,0.189,0.155
177,0.192,0.187,0.156
178,0.186,0.204,0.143
179,0.182,0.2,0.147
180,0.209,0.193,0.15
181,0.196,0.159,0.129
182,0.19,0.206,0.153
183,0.199,0.192,0.146
184,0.184,0.176,0.145
185,0.185,0.2,0.143
186,0.184,0.189,0.147
187,0.188,0.181,0.137
188,0.192,0.187,0.143
189,0.194,0.186,0.152
190,0.189,0.167,0.144
191,0.174,0.177,0.152
192,0.186,0.191,0.145
193,0.2,0.196,0.133
194,0.197,0.204,0.151
195,0.183,0.187,0.147
196,0.195,0.189,0.145
197,0.217,0.192,0.143
198,0.209,0.176,0.132
199,0.188,0.19,0.147
200,0.209,0.177,0.149
201,0.162,0.176,0.147
202,0.184,0.163,0.133
203,0.197,0.189,0.112
204,0.173,0.177,0.161
205,0.209,0.144,0.133
206,0.201,0.171,0.155
207,0.167,0.196,0.135
208,0.167,0.187,0.166
209,0.195,0.155,0.163
210,0.211,0.166,0.112
211,0.18,0.179,0.136
212,0.17,0.195,0.116
213,0.193,0.152,0.135
214,0.174,0.166,0.146
215,0.224,0.217,0.143
216,0.199,0.22,0.142
217,0.186,0.193,0.169
218,0.193,0.166,0.139
219,0.181,0.15,0.114
220,0.187,0.155,0.155
221,0.168,0.168,0.13
222,0.169,0.156,0.136
223,0.199,0.185,0.13
224,0.198,0.212,0.129
225,0.207,0.188,0.138
226,0.179,0.16,0.131
227,0.189,0.177,0.134
228,0.172,0.196,0.127
229,0.185,0.179,0.14
230,0.208,0.179,0.138
231,0.183,0.157,0.143
232,0.181,0.176,0.129
233,0.194,0.156,0.116
234,0.197,0.166,0.136
235,0.175,0.173,0.153
236,0.183,0.192,0.145
237,0.195,0.145,0.112
238,0.192,0.165,0.116
239,0.169,0.148,0.143
240,0.188,0.25,0.155
241,0.183,0.174,0.134
242,0.183,0.23,0.142
243,0.241,0.164,0.15
244,0.197,0.187,0.157
245,0.205,0.185,0.129
246,0.187,0.186,0.158
247,0.193,0.167,0.135
248,0.197,0.201,0.13
249,0.176,0.176,0.166
250,0.179,0.196,0.138
251,0.186,0.179,0.108
252,0.202,0.178,0.126
253,0.194,0.202,0.131
254,0.189,0.169,0.135
255,0.201,0.164,0.145
256,0.196,0.169,0.145
257,0.179,0.157,0.132
258,0.213,0.19,0.132
259,0.181,0.173,0.15
260,0.19,0.169,0.153
261,0.216,0.168,0.123
262,0.193,0.166,0.153
263,0.188,0.185,0.13
264,0.175,0.172,0.126
265,0.189,0.224,0.146
266,0.193,0.141,0.125
267,0.17,0.184,0.163
268,0.2,0.185,0.148
269,0.175,0.18,0.114
270,0.224,0.183,0.148
271,0.193,0.189,0.17
272,0.205,0.205,0.144
273,0.203,0.228,0.151
274,0.175,0.154,0.162
275,0.202,0.178,0.152
276,0.174,0.143,0.132
277,0.18,0.174,0.135
278,0.2,0.172,0.148
279,0.218,0.213,0.153
280,0.176,0.186,0.146
281,0.205,0.167,0.159
282,0.199,0.189,0.144
283,0.17,0.143,0.147
284,0.204,0.178,0.134
285,0.185,0.171,0.152
286,0.187,0.198,0.111
287,0.202,0.195,0.168
288,0.2,0.153,0.115
289,0.167,0.184,0.136
290,0.175,0.196,0.126
291,0.179,0.191,0.125
292,0.168,0.152,0.142
293,0.171,0.147,0.152
294,0.196,0.189,0.15
295,0.18,0.171,0.133
296,0.19,0.17,0.152
297,0.166,0.147,0.139
298,0.177,0.181,0.144
299,0.171,0.144,0.11
300,0.177,0.207,0.138
301,0.204,0.188,0.156
302,0.197,0.213,0.146
303,0.189,0.193,0.14
304,0.189,0.221,0.145
305,0.193,0.198,0.145
306,0.206,0.205,0.139
307,0.22,0.194,0.149
308,0.191,0.226,0.137
309,0.208,0.169,0.137
310,0.2,0.187,0.148
311,0.218,0.165,0.139
312,0.192,0.183,0.138
313,0.215,0.159,0.146
314,0.181,0.211,0.135
315,0.203,0.185,0.151
316,0.196,0.181,0.136
317,0.196,0.227,0.138
318,0.18,0.162,0.142
319,0.2,0.176,0.154
320,0.191,0.192,0.153
321,0.195,0.191,0.146
322,0.198,0.193,0.134
323,0.206,0.192,0.15
324,0.188,0.187,0.138
325,0.202,0.208,0.146
326,0.199,0.174,0.142
327,0.193,0.193,0.154
328,0.188,0.178,0.147
329,0.224,0.181,0.14
330,0.199,0.178,0.15
331,0.191,0.201,0.151
332,0.18,0.176,0.138
333,0.213,0.164,0.174
334,0.204,0.218,0.155
335,0.212,0.194,0.16
336,0.199,0.182,0.153
337,0.178,0.219,0.15
338,0.238,0.185,0.157
339,0.208,0.182,0.147
340,0.189,0.193,0.153
341,0.2,0.198,0.151
342,0.195,0.164,0.137
343,0.192,0.185,0.148
344,0.211,0.218,0.163
345,0.203,0.195,0.142
346,0.224,0.176,0.147
347,0.191,0.191,0.149
348,0.204,0.174,0.144
349,0.187,0.185,0.149
350,0.194,0.169,0.138
351,0.202,0.195,0.147
352,0.194,0.179,0.135
353,0.206,0.188,0.141
354,0.206,0.219,0.144
355,0.19,0.192,0.141
356,0.187,0.168,0.145
357,0.202,0.172,0.129
358,0.185,0.192,0.144
359,0.198,0.211,0.154
360,0.182,0.18,0.151
361,0.21,0.212,0.147
362,0.206,0.195,0.153
363,0.204,0.189,0.147
364,0.187,0.187,0.145
365,0.194,0.199,0.148
366,0.19,0.2,0.152
367,0.188,0.183,0.141
368,0.187,0.203,0.154
369,0.202,0.173,0.142
370,0.192,0.177,0.145
371,0.188,0.181,0.156
372,0.225,0.201,0.153
373,0.213,0.214,0.149
374,0.201,0.189,0.143
375,0.192,0.189,0.144
376,0.192,0.201,0.149
377,0.209,0.202,0.152
378,0.191,0.183,0.159
379,0.201,0.214,0.15
380,0.2,0.18,0.149
381,0.214,0.172,0.147
382,0.187,0.2,0.149
383,0.198,0.198,0.158
384,0.198,0.227,0.156
385,0.198,0.197,0.158
386,0.198,0.195,0.135
387,0.191,0.165,0.152
388,0.187,0.178,0.14
389,0.192,0.195,0.16
390,0.201,0.209,0.137
391,0.193,0.233,0.149
392,0.214,0.186,0.151
393,0.21,0.205,0.157
394,0.213,0.17,0.145
395,0.18,0.188,0.136
396,0.193,0.207,0.149
397,0.192,0.181,0.159
398,0.197,0.191,0.144
399,0.22,0.178,0.144
400,0.198,0.161,0.148
