TreeID,TMP_RandomR2,PRE_RandomR2,DTR_RandomR2
1,0.01,0,0.005
2,0.003,0,0.002
3,0.004,0,0.001
4,0.016,0,0.004
5,0.001,0,0
6,0.013,0,0.003
7,0.009,0,0.01
8,0.006,0,0.004
9,0.001,0,0.003
10,0.006,0,0.002
11,0.007,0,0.001
12,0.003,0,0.002
13,0.007,0,0.003
14,0.003,0,0.003
15,0.003,0,0.003
16,0.006,0,0.003
17,0.011,0,0.008
18,0.003,0,0.003
19,0.004,0,0.001
20,0.009,0,0.003
21,0.005,0,0.003
22,0.008,0,0.001
23,0.008,0,0.007
24,0.012,0,0.006
25,0.011,0,0.006
26,0.005,0,0.002
27,0.009,0,0.002
28,0.004,0,0.001
29,0.004,0,0.002
30,0.008,0,0.001
31,0.008,0,0.013
32,0.008,0,0.002
33,0.004,0,0.006
34,0.003,0,0.005
35,0.014,0,0.002
36,0.011,0,0.002
37,0.005,0,0.003
38,0.002,0,0.005
39,0.006,0,0.005
40,0.014,0,0.004
41,0.01,0,0.004
42,0.014,0,0.003
43,0.006,0,0.004
44,0.002,0,0.004
45,0.008,0,0.002
46,0.01,0,0.004
47,0.01,0,0.003
48,0.006,0,0.003
49,0.008,0,0.005
50,0.01,0,0.001
51,0.005,0,0.004
52,0.004,0,0.006
53,0.01,0,0.005
54,0.006,0,0.002
55,0.006,0,0.002
56,0.005,0,0.002
57,0.006,0,0.009
58,0.001,0,0.002
59,0.005,0,0.002
60,0.004,0,0.003
61,0.006,0,0.005
62,0.007,0,0.005
63,0.01,0,0.003
64,0.005,0,0.002
65,0.008,0,0.001
66,0.002,0,0.004
67,0.012,0,0.003
68,0.008,0,0.002
69,0.004,0,0.003
70,0.005,0,0.008
71,0.006,0,0.003
72,0.006,0,0.009
73,0.006,0,0.002
74,0.008,0,0.003
75,0.007,0,0.002
76,0.009,0,0.009
77,0.006,0,0.002
78,0.012,0,0.004
79,0.01,0,0.002
80,0.01,0,0.004
81,0.008,0,0.004
82,0.01,0,0.004
83,0.011,0,0.003
84,0.009,0,0.002
85,0.009,0,0.011
86,0.007,0,0.002
87,0.008,0,0.002
88,0.007,0,0.004
89,0.004,0,0.002
90,0.012,0,0.006
91,0.004,0,0.002
92,0.009,0,0.002
93,0.009,0,0.002
94,0.013,0,0.004
95,0.003,0,0.004
96,0.006,0,0.003
97,0.004,0,0.002
98,0.012,0,0.006
99,0.008,0,0.007
100,0.009,0,0.004
101,0.007,0,0.003
102,0.006,0,0.003
103,0.005,0,0.006
104,0.007,0,0.003
105,0.007,0,0
106,0.014,0,0.005
107,0.008,0,0.005
108,0.009,0,0.011
109,0.008,0,0.001
110,0.005,0,0.004
111,0.005,0,0.004
112,0.008,0,0.004
113,0.008,0,0.002
114,0.005,0,0.003
115,0.009,0,0.002
116,0.007,0,0.002
117,0.016,0,0.008
118,0.007,0,0.003
119,0.01,0,0.005
120,0.011,0,0.006
121,0.009,0,0.005
122,0.012,0,0.004
123,0.006,0,0.003
124,0.009,0,0.004
125,0.013,0,0.002
126,0.006,0,0.006
127,0.01,0,0.005
128,0.009,0,0.008
129,0.006,0,0.004
130,0.009,0,0.006
131,0.015,0,0.008
132,0.006,0,0.006
133,0.008,0,0.009
134,0.008,0,0.003
135,0.009,0,0.005
136,0.007,0,0.005
137,0.009,0,0.003
138,0.008,0,0.005
139,0.011,0,0.009
140,0.008,0,0.002
141,0.012,0,0.003
142,0.012,0,0.006
143,0.012,0,0.004
144,0.006,0,0.002
145,0.007,0,0.002
146,0.007,0,0.005
147,0.013,0,0.004
148,0.01,0,0.005
149,0.008,0,0.008
150,0.006,0,0.003
151,0.011,0,0.011
152,0.008,0,0.007
153,0.015,0,0.005
154,0.008,0,0.003
155,0.012,0,0.003
156,0.009,0,0.001
157,0.004,0,0.004
158,0.007,0,0.005
159,0.01,0,0.004
160,0.011,0,0.011
161,0.009,0,0.004
162,0.008,0,0.004
163,0.006,0,0.003
164,0.009,0,0.003
165,0.007,0,0.001
166,0.009,0,0.005
167,0.008,0,0.004
168,0.009,0,0.003
169,0.005,0,0.001
170,0.006,0,0.004
171,0.011,0,0.004
172,0.009,0,0.003
173,0.005,0,0.013
174,0.005,0,0.004
175,0.009,0,0.004
176,0.005,0,0.003
177,0.009,0,0.007
178,0.01,0,0.003
179,0.008,0,0.005
180,0.005,0,0.002
181,0.012,0,0.005
182,0.009,0,0.004
183,0.013,0,0.006
184,0.009,0,0.003
185,0.014,0,0.005
186,0.01,0,0.003
187,0.013,0,0.004
188,0.009,0,0.004
189,0.012,0,0.004
190,0.006,0,0.003
191,0.01,0,0.003
192,0.01,0,0.008
193,0.01,0,0.003
194,0.005,0,0.004
195,0.009,0,0.005
196,0.02,0,0.002
197,0.011,0,0.002
198,0.007,0,0.006
199,0.006,0,0.003
200,0.006,0,0.004
201,0.006,0,0.008
202,0.003,0,0.004
203,0.013,0,0.005
204,0.038,0,0.004
205,0.008,0,0.004
206,0.01,0,0.007
207,0.003,0,0.002
208,0.007,0,0.003
209,0.004,0,0.006
210,0.031,0,0.005
211,0.008,0,0.004
212,0.012,0,0.002
213,0.014,0,0.006
214,0.006,0,0.002
215,0.009,0,0.006
216,0.006,0,0.002
217,0.006,0,0.004
218,0.007,0,0.006
219,0.019,0,0.004
220,0.005,0,0.005
221,0.021,0,0.004
222,0.009,0,0.037
223,0.012,0,0.005
224,0.004,0,0.003
225,0.012,0,0.004
226,0.005,0,0.003
227,0.01,0,0.009
228,0.016,0,0.005
229,0.013,0,0.006
230,0.012,0,0.004
231,0.008,0,0.004
232,0.009,0,0.007
233,0.009,0,0.01
234,0.007,0,0.003
235,0.006,0,0.007
236,0.004,0,0.003
237,0.014,0,0.009
238,0.011,0,0.005
239,0.009,0,0.004
240,0.012,0,0.006
241,0.004,0,0.002
242,0.014,0,0.008
243,0.007,0,0.004
244,0.006,0,0.003
245,0.005,0,0.002
246,0.013,0,0.009
247,0.004,0,0.004
248,0.016,0,0.004
249,0.007,0,0.018
250,0.006,0,0.004
251,0.006,0,0.006
252,0.003,0,0.006
253,0.011,0,0.006
254,0.003,0,0.007
255,0.009,0,0.005
256,0.002,0,0.004
257,0.005,0,0.012
258,0.011,0,0.008
259,0.011,0,0.007
260,0.002,0,0.004
261,0.006,0,0.005
262,0.003,0,0.004
263,0.007,0,0.008
264,0.013,0,0.005
265,0.009,0,0.002
266,0.012,0,0.005
267,0.019,0,0.005
268,0.005,0,0.004
269,0.01,0,0.004
