"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Tree"
"CS_affects_WP",0.91,0.14,0.64,1.17,"NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"NCuniform_stem"
"WP_affects_Climate",0.38,0.12,0.16,0.61,"NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"NCuniform_stem"
"Climate_affects_CS",0.07,0.04,0,0.15,"NCuniform_stem"
"CS_affects_WP",0.84,0.12,0.61,1.08,"NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"NCuniform_crown"
"WP_affects_Climate",0.4,0.11,0.18,0.62,"NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"NCuniform_crown"
"CS_affects_WP",1.01,0.15,0.71,1.3,"FBD_stem"
"Climate_affects_WP",0,0,0,0,"FBD_stem"
"WP_affects_Climate",0.37,0.11,0.15,0.59,"FBD_stem"
"CS_affects_Climate",0,0,0,0,"FBD_stem"
"Climate_affects_CS",0.07,0.04,0,0.15,"FBD_stem"
"CS_affects_WP",0.87,0.13,0.62,1.12,"FBD_crown"
"Climate_affects_WP",0,0,0,0,"FBD_crown"
"WP_affects_Climate",0.4,0.12,0.17,0.62,"FBD_crown"
"CS_affects_Climate",0,0,0,0,"FBD_crown"
"Climate_affects_CS",0.08,0.04,0,0.15,"FBD_crown"
