"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","three",1,5,1.76,0.41,11.89,0,1,0.52
"NC uniform stem","four",1,5,3.62,0.16,13.75,1.86,0.39,0.21
"NC uniform stem","one",1,5,3.75,0.15,13.88,1.99,0.37,0.19
"NC uniform stem","two",1,5,5.62,0.06,15.74,3.86,0.15,0.08
"NC uniform crown","three",1,5,3.03,0.22,13.16,0,1,0.47
"NC uniform crown","four",1,5,4.4,0.11,14.53,1.37,0.5,0.24
"NC uniform crown","one",1,5,4.59,0.1,14.71,1.55,0.46,0.22
"NC uniform crown","two",1,5,6.87,0.03,17,3.84,0.15,0.07
"FBD stem","one",1,5,2.41,0.3,12.53,0,1,0.58
"FBD stem","two",1,5,4.65,0.1,14.78,2.24,0.33,0.19
"FBD stem","four",1,5,5.44,0.07,15.56,3.03,0.22,0.13
"FBD stem","three",1,5,5.91,0.05,16.03,3.5,0.17,0.1
"FBD crown","three",1,5,1.6,0.45,11.73,0,1,0.7
"FBD crown","one",1,5,4.19,0.12,14.31,2.58,0.27,0.19
"FBD crown","four",1,5,6.47,0.04,16.6,4.87,0.09,0.06
"FBD crown","two",1,5,7.31,0.03,17.44,5.71,0.06,0.04
