"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_WP",0.69,0.18,0.4,1.17,"One","NCuniform_stem"
"Climate_affects_WP",0.01,0.13,-0.28,0.27,"One","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_WP",0.7,0.18,0.42,1.16,"Two","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_stem"
"WP_affects_Climate",0.4,0.17,0.09,0.74,"Two","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_stem"
"CS_affects_WP",0.7,0.18,0.41,1.18,"Three","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"Climate_affects_CS",0.04,0.08,-0.11,0.18,"Three","NCuniform_stem"
"CS_affects_WP",0.7,0.18,0.4,1.18,"Four","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_Climate",0.04,0.07,-0.1,0.17,"Four","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_WP",0.73,0.18,0.42,1.22,"One","NCuniform_crown"
"Climate_affects_WP",0.18,0.14,-0.11,0.51,"One","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_WP",0.7,0.18,0.42,1.23,"Two","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_crown"
"WP_affects_Climate",0.36,0.17,-0.02,0.7,"Two","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_crown"
"CS_affects_WP",0.7,0.18,0.42,1.17,"Three","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"Climate_affects_CS",-0.05,0.07,-0.2,0.1,"Three","NCuniform_crown"
"CS_affects_WP",0.7,0.18,0.41,1.15,"Four","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_Climate",-0.03,0.07,-0.16,0.1,"Four","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_WP",0.64,0.16,0.36,1.16,"One","FBD_stem"
"Climate_affects_WP",0.01,0.13,-0.3,0.24,"One","FBD_stem"
"WP_affects_Climate",0,0,0,0,"One","FBD_stem"
"CS_affects_Climate",0,0,0,0,"One","FBD_stem"
"Climate_affects_CS",0,0,0,0,"One","FBD_stem"
"CS_affects_WP",0.66,0.16,0.4,1.21,"Two","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Two","FBD_stem"
"WP_affects_Climate",0.33,0.16,-0.05,0.66,"Two","FBD_stem"
"CS_affects_Climate",0,0,0,0,"Two","FBD_stem"
"Climate_affects_CS",0,0,0,0,"Two","FBD_stem"
"CS_affects_WP",0.66,0.16,0.4,1.17,"Three","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Three","FBD_stem"
"WP_affects_Climate",0,0,0,0,"Three","FBD_stem"
"CS_affects_Climate",0,0,0,0,"Three","FBD_stem"
"Climate_affects_CS",0,0.07,-0.14,0.13,"Three","FBD_stem"
"CS_affects_WP",0.66,0.16,0.37,1.15,"Four","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Four","FBD_stem"
"WP_affects_Climate",0,0,0,0,"Four","FBD_stem"
"CS_affects_Climate",0.02,0.07,-0.12,0.15,"Four","FBD_stem"
"Climate_affects_CS",0,0,0,0,"Four","FBD_stem"
"CS_affects_WP",0.71,0.18,0.39,1.22,"One","FBD_crown"
"Climate_affects_WP",0.14,0.14,-0.09,0.41,"One","FBD_crown"
"WP_affects_Climate",0,0,0,0,"One","FBD_crown"
"CS_affects_Climate",0,0,0,0,"One","FBD_crown"
"Climate_affects_CS",0,0,0,0,"One","FBD_crown"
"CS_affects_WP",0.7,0.17,0.45,1.21,"Two","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Two","FBD_crown"
"WP_affects_Climate",0.39,0.17,0.06,0.69,"Two","FBD_crown"
"CS_affects_Climate",0,0,0,0,"Two","FBD_crown"
"Climate_affects_CS",0,0,0,0,"Two","FBD_crown"
"CS_affects_WP",0.7,0.17,0.43,1.18,"Three","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Three","FBD_crown"
"WP_affects_Climate",0,0,0,0,"Three","FBD_crown"
