"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Tree"
"CS_affects_WP",0.7,0.18,0.35,1.05,"NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"NCuniform_stem"
"Climate_affects_CS",-0.18,0.07,-0.31,-0.05,"NCuniform_stem"
"CS_affects_WP",0.7,0.18,0.35,1.06,"NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"NCuniform_crown"
"CS_affects_Climate",-0.24,0.08,-0.39,-0.09,"NCuniform_crown"
"Climate_affects_CS",-0.22,0.06,-0.34,-0.09,"NCuniform_crown"
"CS_affects_WP",0.66,0.16,0.33,0.98,"FBD_stem"
"Climate_affects_WP",0,0,0,0,"FBD_stem"
"WP_affects_Climate",0,0,0,0,"FBD_stem"
"CS_affects_Climate",0,0,0,0,"FBD_stem"
"Climate_affects_CS",-0.19,0.06,-0.31,-0.06,"FBD_stem"
"CS_affects_WP",0.7,0.17,0.36,1.04,"FBD_crown"
"Climate_affects_WP",0,0,0,0,"FBD_crown"
"WP_affects_Climate",0,0,0,0,"FBD_crown"
"CS_affects_Climate",-0.19,0.08,-0.34,-0.04,"FBD_crown"
"Climate_affects_CS",-0.18,0.06,-0.3,-0.06,"FBD_crown"
