"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_WP",0.77,0.19,0.43,1.32,"One","NCuniform_stem"
"Climate_affects_WP",0.18,0.14,-0.07,0.5,"One","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_WP",0.7,0.18,0.45,1.24,"Two","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_stem"
"WP_affects_Climate",0.14,0.19,-0.22,0.52,"Two","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_stem"
"CS_affects_WP",0.7,0.18,0.42,1.21,"Three","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"Climate_affects_CS",-0.18,0.07,-0.31,-0.05,"Three","NCuniform_stem"
"CS_affects_WP",0.7,0.18,0.43,1.16,"Four","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_Climate",-0.2,0.08,-0.35,-0.05,"Four","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_WP",0.77,0.19,0.46,1.23,"One","NCuniform_crown"
"Climate_affects_WP",0.2,0.14,-0.05,0.45,"One","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_WP",0.7,0.18,0.42,1.16,"Two","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_crown"
"WP_affects_Climate",0.07,0.19,-0.33,0.44,"Two","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_crown"
"CS_affects_WP",0.7,0.18,0.43,1.16,"Three","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"Climate_affects_CS",-0.22,0.06,-0.34,-0.09,"Three","NCuniform_crown"
"CS_affects_WP",0.7,0.18,0.44,1.25,"Four","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_Climate",-0.24,0.08,-0.39,-0.1,"Four","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_WP",0.71,0.17,0.41,1.2,"One","FBD_stem"
"Climate_affects_WP",0.16,0.13,-0.08,0.45,"One","FBD_stem"
"WP_affects_Climate",0,0,0,0,"One","FBD_stem"
"CS_affects_Climate",0,0,0,0,"One","FBD_stem"
"Climate_affects_CS",0,0,0,0,"One","FBD_stem"
"CS_affects_WP",0.66,0.16,0.42,1.3,"Two","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Two","FBD_stem"
"WP_affects_Climate",0.13,0.18,-0.24,0.54,"Two","FBD_stem"
"CS_affects_Climate",0,0,0,0,"Two","FBD_stem"
"Climate_affects_CS",0,0,0,0,"Two","FBD_stem"
"CS_affects_WP",0.66,0.16,0.42,1.21,"Three","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Three","FBD_stem"
"WP_affects_Climate",0,0,0,0,"Three","FBD_stem"
"CS_affects_Climate",0,0,0,0,"Three","FBD_stem"
"Climate_affects_CS",-0.19,0.06,-0.32,-0.06,"Three","FBD_stem"
"CS_affects_WP",0.66,0.16,0.4,1.2,"Four","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Four","FBD_stem"
"WP_affects_Climate",0,0,0,0,"Four","FBD_stem"
"CS_affects_Climate",-0.2,0.08,-0.34,-0.05,"Four","FBD_stem"
"Climate_affects_CS",0,0,0,0,"Four","FBD_stem"
"CS_affects_WP",0.79,0.2,0.48,1.24,"One","FBD_crown"
"Climate_affects_WP",0.19,0.13,-0.07,0.49,"One","FBD_crown"
"WP_affects_Climate",0,0,0,0,"One","FBD_crown"
"CS_affects_Climate",0,0,0,0,"One","FBD_crown"
"Climate_affects_CS",0,0,0,0,"One","FBD_crown"
"CS_affects_WP",0.7,0.17,0.39,1.11,"Two","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Two","FBD_crown"
"WP_affects_Climate",0.15,0.19,-0.18,0.55,"Two","FBD_crown"
"CS_affects_Climate",0,0,0,0,"Two","FBD_crown"
"Climate_affects_CS",0,0,0,0,"Two","FBD_crown"
"CS_affects_WP",0.7,0.17,0.43,1.18,"Three","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Three","FBD_crown"
"WP_affects_Climate",0,0,0,0,"Three","FBD_crown"
"CS_affects_Climate",0,0,0,0,"Three","FBD_crown"
"Climate_affects_CS",-0.18,0.06,-0.3,-0.06,"Three","FBD_crown"
"CS_affects_WP",0.7,0.17,0.42,1.15,"Four","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Four","FBD_crown"
"WP_affects_Climate",0,0,0,0,"Four","FBD_crown"
"CS_affects_Climate",-0.19,0.08,-0.35,-0.04,"Four","FBD_crown"
"Climate_affects_CS",0,0,0,0,"Four","FBD_crown"
