"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Tree"
"CS_affects_WP",1.15,0.28,0.6,1.69,"NCuniform_stem"
"Climate_affects_WP",0.14,0.25,-0.36,0.64,"NCuniform_stem"
"WP_affects_Climate",0.21,0.21,-0.19,0.62,"NCuniform_stem"
"CS_affects_Climate",0.1,0.09,-0.08,0.28,"NCuniform_stem"
"Climate_affects_CS",0.04,0.06,-0.07,0.16,"NCuniform_stem"
"CS_affects_WP",1.11,0.27,0.58,1.64,"NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"NCuniform_crown"
"WP_affects_Climate",0.26,0.21,-0.15,0.67,"NCuniform_crown"
"CS_affects_Climate",0.11,0.09,-0.07,0.29,"NCuniform_crown"
"Climate_affects_CS",0.06,0.06,-0.07,0.18,"NCuniform_crown"
"CS_affects_WP",1.13,0.27,0.59,1.67,"FBD_stem"
"Climate_affects_WP",0.08,0.24,-0.39,0.55,"FBD_stem"
"WP_affects_Climate",0.22,0.21,-0.18,0.63,"FBD_stem"
"CS_affects_Climate",0.1,0.09,-0.08,0.29,"FBD_stem"
"Climate_affects_CS",0.07,0.06,-0.05,0.19,"FBD_stem"
"CS_affects_WP",1.1,0.27,0.57,1.62,"FBD_crown"
"Climate_affects_WP",0,0,0,0,"FBD_crown"
"WP_affects_Climate",0.22,0.21,-0.19,0.63,"FBD_crown"
"CS_affects_Climate",0.1,0.09,-0.08,0.28,"FBD_crown"
"Climate_affects_CS",0.08,0.06,-0.05,0.2,"FBD_crown"
