"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_WP",0.93,0.14,0.7,1.21,"One","NCuniform_stem"
"Climate_affects_WP",0.09,0.09,-0.07,0.25,"One","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_WP",0.91,0.14,0.69,1.21,"Two","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_stem"
"WP_affects_Climate",0.38,0.12,0.14,0.62,"Two","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_stem"
"CS_affects_WP",0.91,0.14,0.7,1.21,"Three","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"Climate_affects_CS",0.07,0.04,0,0.15,"Three","NCuniform_stem"
"CS_affects_WP",0.91,0.14,0.71,1.21,"Four","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_Climate",0.13,0.05,0.02,0.24,"Four","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_WP",0.82,0.12,0.63,1.1,"One","NCuniform_crown"
"Climate_affects_WP",0.25,0.08,0.1,0.41,"One","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_WP",0.84,0.12,0.64,1.09,"Two","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_crown"
"WP_affects_Climate",0.4,0.11,0.2,0.62,"Two","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_crown"
"CS_affects_WP",0.84,0.12,0.65,1.1,"Three","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"Climate_affects_CS",0.07,0.04,-0.01,0.15,"Three","NCuniform_crown"
"CS_affects_WP",0.84,0.12,0.63,1.12,"Four","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_Climate",0.1,0.05,0,0.19,"Four","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_WP",1.04,0.15,0.8,1.3,"One","FBD_stem"
"Climate_affects_WP",0.12,0.1,-0.05,0.3,"One","FBD_stem"
"WP_affects_Climate",0,0,0,0,"One","FBD_stem"
"CS_affects_Climate",0,0,0,0,"One","FBD_stem"
"Climate_affects_CS",0,0,0,0,"One","FBD_stem"
"CS_affects_WP",1.01,0.15,0.78,1.31,"Two","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Two","FBD_stem"
"WP_affects_Climate",0.37,0.11,0.15,0.58,"Two","FBD_stem"
"CS_affects_Climate",0,0,0,0,"Two","FBD_stem"
"Climate_affects_CS",0,0,0,0,"Two","FBD_stem"
"CS_affects_WP",1.01,0.15,0.78,1.25,"Three","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Three","FBD_stem"
"WP_affects_Climate",0,0,0,0,"Three","FBD_stem"
"CS_affects_Climate",0,0,0,0,"Three","FBD_stem"
"Climate_affects_CS",0.07,0.04,0.01,0.15,"Three","FBD_stem"
"CS_affects_WP",1.01,0.15,0.76,1.34,"Four","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Four","FBD_stem"
"WP_affects_Climate",0,0,0,0,"Four","FBD_stem"
"CS_affects_Climate",0.13,0.05,0.03,0.23,"Four","FBD_stem"
"Climate_affects_CS",0,0,0,0,"Four","FBD_stem"
"CS_affects_WP",0.89,0.13,0.69,1.17,"One","FBD_crown"
"Climate_affects_WP",0.24,0.09,0.09,0.41,"One","FBD_crown"
"WP_affects_Climate",0,0,0,0,"One","FBD_crown"
"CS_affects_Climate",0,0,0,0,"One","FBD_crown"
"Climate_affects_CS",0,0,0,0,"One","FBD_crown"
"CS_affects_WP",0.87,0.13,0.65,1.14,"Two","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Two","FBD_crown"
