"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_WP",0.92,0.13,0.69,1.2,"One","NCuniform_stem"
"Climate_affects_WP",0.06,0.1,-0.11,0.22,"One","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_WP",0.91,0.14,0.69,1.19,"Two","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_stem"
"WP_affects_Climate",0.07,0.1,-0.14,0.26,"Two","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_stem"
"CS_affects_WP",0.91,0.14,0.67,1.19,"Three","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"Climate_affects_CS",-0.06,0.05,-0.15,0.03,"Three","NCuniform_stem"
"CS_affects_WP",0.91,0.14,0.68,1.22,"Four","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_Climate",-0.07,0.05,-0.15,0.02,"Four","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_WP",0.84,0.12,0.65,1.1,"One","NCuniform_crown"
"Climate_affects_WP",0.11,0.09,-0.02,0.25,"One","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_WP",0.84,0.12,0.65,1.09,"Two","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_crown"
"WP_affects_Climate",0.08,0.1,-0.12,0.28,"Two","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_crown"
"CS_affects_WP",0.84,0.12,0.64,1.12,"Three","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
