"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Tree"
"CS_affects_WP",1,0.22,0.58,1.43,"NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"NCuniform_stem"
"WP_affects_Climate",0.69,0.17,0.35,1.02,"NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"NCuniform_stem"
"CS_affects_WP",1.04,0.24,0.56,1.52,"NCuniform_crown"
"Climate_affects_WP",0.2,0.16,-0.12,0.52,"NCuniform_crown"
"WP_affects_Climate",0.57,0.16,0.26,0.88,"NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"NCuniform_crown"
"Climate_affects_CS",0.1,0.06,-0.02,0.22,"NCuniform_crown"
"CS_affects_WP",1.01,0.22,0.58,1.43,"FBD_stem"
"Climate_affects_WP",0,0,0,0,"FBD_stem"
"WP_affects_Climate",0.68,0.17,0.34,1.01,"FBD_stem"
"CS_affects_Climate",0,0,0,0,"FBD_stem"
"Climate_affects_CS",0,0,0,0,"FBD_stem"
"CS_affects_WP",0.99,0.22,0.57,1.42,"FBD_crown"
"Climate_affects_WP",0,0,0,0,"FBD_crown"
"WP_affects_Climate",0.68,0.17,0.34,1.02,"FBD_crown"
"CS_affects_Climate",0,0,0,0,"FBD_crown"
"Climate_affects_CS",0,0,0,0,"FBD_crown"
