"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_WP",1.17,0.23,0.77,1.73,"One","NCuniform_stem"
"Climate_affects_WP",0.35,0.18,-0.1,0.7,"One","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_WP",1,0.22,0.63,1.72,"Two","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_stem"
"WP_affects_Climate",0.69,0.17,0.35,1.02,"Two","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_stem"
"CS_affects_WP",1,0.22,0.6,1.67,"Three","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"Climate_affects_CS",0.12,0.06,-0.01,0.24,"Three","NCuniform_stem"
"CS_affects_WP",1,0.22,0.63,1.57,"Four","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_Climate",0.17,0.09,0.01,0.35,"Four","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_WP",1.23,0.24,0.82,1.83,"One","NCuniform_crown"
"Climate_affects_WP",0.2,0.16,-0.15,0.53,"One","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_WP",0.99,0.22,0.63,1.71,"Two","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_crown"
"WP_affects_Climate",0.57,0.16,0.26,0.9,"Two","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_crown"
"CS_affects_WP",0.99,0.22,0.62,1.78,"Three","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"Climate_affects_CS",0.1,0.06,-0.02,0.22,"Three","NCuniform_crown"
"CS_affects_WP",0.99,0.22,0.6,1.6,"Four","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_Climate",0.11,0.08,-0.07,0.26,"Four","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_WP",1.19,0.23,0.76,1.76,"One","FBD_stem"
"Climate_affects_WP",0.38,0.18,-0.06,0.81,"One","FBD_stem"
"WP_affects_Climate",0,0,0,0,"One","FBD_stem"
"CS_affects_Climate",0,0,0,0,"One","FBD_stem"
"Climate_affects_CS",0,0,0,0,"One","FBD_stem"
"CS_affects_WP",1.01,0.22,0.57,1.64,"Two","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Two","FBD_stem"
"WP_affects_Climate",0.68,0.17,0.34,1.04,"Two","FBD_stem"
"CS_affects_Climate",0,0,0,0,"Two","FBD_stem"
"Climate_affects_CS",0,0,0,0,"Two","FBD_stem"
"CS_affects_WP",1.01,0.22,0.61,1.71,"Three","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Three","FBD_stem"
"WP_affects_Climate",0,0,0,0,"Three","FBD_stem"
"CS_affects_Climate",0,0,0,0,"Three","FBD_stem"
"Climate_affects_CS",0.12,0.07,-0.01,0.25,"Three","FBD_stem"
"CS_affects_WP",1.01,0.22,0.6,1.68,"Four","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Four","FBD_stem"
"WP_affects_Climate",0,0,0,0,"Four","FBD_stem"
"CS_affects_Climate",0.17,0.09,0.01,0.34,"Four","FBD_stem"
"Climate_affects_CS",0,0,0,0,"Four","FBD_stem"
"CS_affects_WP",0.88,0.22,0.47,1.6,"One","FBD_crown"
"Climate_affects_WP",0.46,0.16,0.15,0.81,"One","FBD_crown"
"WP_affects_Climate",0,0,0,0,"One","FBD_crown"
"CS_affects_Climate",0,0,0,0,"One","FBD_crown"
"Climate_affects_CS",0,0,0,0,"One","FBD_crown"
"CS_affects_WP",0.99,0.22,0.65,1.58,"Two","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Two","FBD_crown"
"WP_affects_Climate",0.68,0.17,0.35,1,"Two","FBD_crown"
"CS_affects_Climate",0,0,0,0,"Two","FBD_crown"
"Climate_affects_CS",0,0,0,0,"Two","FBD_crown"
"CS_affects_WP",0.99,0.22,0.61,1.67,"Three","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Three","FBD_crown"
"WP_affects_Climate",0,0,0,0,"Three","FBD_crown"
"CS_affects_Climate",0,0,0,0,"Three","FBD_crown"
"Climate_affects_CS",0.11,0.07,-0.03,0.24,"Three","FBD_crown"
"CS_affects_WP",0.99,0.22,0.62,1.7,"Four","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Four","FBD_crown"
"WP_affects_Climate",0,0,0,0,"Four","FBD_crown"
"CS_affects_Climate",0.17,0.09,0.02,0.35,"Four","FBD_crown"
"Climate_affects_CS",0,0,0,0,"Four","FBD_crown"
