"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","two",1,5,0.13,0.94,10.5,0,1,0.92
"NC uniform stem","one",1,5,6.03,0.05,16.4,5.9,0.05,0.05
"NC uniform stem","three",1,5,6.67,0.04,17.04,6.54,0.04,0.03
"NC uniform stem","four",1,5,14.59,0,24.96,14.46,0,0
"NC uniform crown","two",1,5,1.87,0.39,12.24,0,1,0.52
"NC uniform crown","three",1,5,3.31,0.19,13.68,1.44,0.49,0.25
"NC uniform crown","one",1,5,3.49,0.17,13.87,1.63,0.44,0.23
"NC uniform crown","four",1,5,14.52,0,24.89,12.65,0,0
"FBD stem","two",1,5,0.07,0.97,10.44,0,1,0.92
"FBD stem","one",1,5,5.92,0.05,16.3,5.85,0.05,0.05
"FBD stem","three",1,5,7.29,0.03,17.66,7.22,0.03,0.03
"FBD stem","four",1,5,14.24,0,24.61,14.17,0,0
"FBD crown","two",1,5,0.07,0.97,10.44,0,1,0.93
"FBD crown","one",1,5,5.86,0.05,16.24,5.8,0.06,0.05
"FBD crown","three",1,5,7.46,0.02,17.83,7.4,0.02,0.02
"FBD crown","four",1,5,14.17,0,24.54,14.1,0,0
