"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_WP",1.07,0.24,0.62,1.78,"One","NCuniform_stem"
"Climate_affects_WP",0.21,0.16,-0.08,0.53,"One","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_WP",1,0.22,0.66,1.67,"Two","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_stem"
"WP_affects_Climate",-0.02,0.17,-0.35,0.3,"Two","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_stem"
"CS_affects_WP",1,0.22,0.62,1.7,"Three","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"Climate_affects_CS",-0.02,0.07,-0.16,0.11,"Three","NCuniform_stem"
"CS_affects_WP",1,0.22,0.62,1.64,"Four","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_Climate",-0.02,0.08,-0.19,0.16,"Four","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_WP",1,0.23,0.55,1.7,"One","NCuniform_crown"
"Climate_affects_WP",0.13,0.16,-0.16,0.4,"One","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_WP",0.99,0.22,0.6,1.65,"Two","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_crown"
"WP_affects_Climate",-0.13,0.17,-0.47,0.2,"Two","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_crown"
"CS_affects_WP",0.99,0.22,0.57,1.67,"Three","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"Climate_affects_CS",-0.04,0.07,-0.19,0.1,"Three","NCuniform_crown"
"CS_affects_WP",0.99,0.22,0.6,1.65,"Four","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_Climate",-0.04,0.08,-0.18,0.11,"Four","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_WP",1.04,0.24,0.52,1.83,"One","FBD_stem"
"Climate_affects_WP",0.23,0.16,-0.05,0.59,"One","FBD_stem"
"WP_affects_Climate",0,0,0,0,"One","FBD_stem"
"CS_affects_Climate",0,0,0,0,"One","FBD_stem"
"Climate_affects_CS",0,0,0,0,"One","FBD_stem"
"CS_affects_WP",1.01,0.22,0.6,1.73,"Two","FBD_stem"
