"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","four",1,5,0.03,0.98,10.4,0,1,0.36
"NC uniform stem","two",1,5,0.43,0.81,10.8,0.39,0.82,0.3
"NC uniform stem","one",1,5,0.5,0.78,10.87,0.47,0.79,0.29
"NC uniform stem","three",1,5,3.75,0.15,14.12,3.72,0.16,0.06
"NC uniform crown","two",1,5,0.18,0.91,10.56,0,1,0.37
"NC uniform crown","one",1,5,0.9,0.64,11.27,0.71,0.7,0.26
"NC uniform crown","four",1,5,1.33,0.51,11.7,1.15,0.56,0.21
"NC uniform crown","three",1,5,1.78,0.41,12.16,1.6,0.45,0.17
"FBD stem","four",1,5,0.06,0.97,10.44,0,1,0.36
"FBD stem","two",1,5,0.48,0.79,10.85,0.42,0.81,0.3
"FBD stem","one",1,5,0.58,0.75,10.95,0.52,0.77,0.28
"FBD stem","three",1,5,3.74,0.15,14.11,3.68,0.16,0.06
"FBD crown","four",1,5,0.2,0.91,10.57,0,1,0.39
"FBD crown","two",1,5,1,0.61,11.37,0.81,0.67,0.26
"FBD crown","one",1,5,1.01,0.6,11.38,0.82,0.66,0.26
"FBD crown","three",1,5,3.37,0.19,13.74,3.17,0.2,0.08
