"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Tree"
"CS_affects_WP",0.7,0.18,0.35,1.05,"NCuniform_stem"
"Climate_affects_WP",0.01,0.13,-0.25,0.27,"NCuniform_stem"
"WP_affects_Climate",0.4,0.17,0.07,0.73,"NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"NCuniform_stem"
"Climate_affects_CS",0.04,0.08,-0.1,0.19,"NCuniform_stem"
"CS_affects_WP",0.73,0.18,0.36,1.09,"NCuniform_crown"
"Climate_affects_WP",0.18,0.14,-0.1,0.46,"NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"NCuniform_crown"
"CS_affects_WP",0.65,0.16,0.33,0.97,"FBD_stem"
"Climate_affects_WP",0.01,0.13,-0.24,0.25,"FBD_stem"
"WP_affects_Climate",0.33,0.16,0,0.65,"FBD_stem"
"CS_affects_Climate",0,0,0,0,"FBD_stem"
"Climate_affects_CS",0,0.07,-0.14,0.14,"FBD_stem"
"CS_affects_WP",0.7,0.17,0.36,1.04,"FBD_crown"
"Climate_affects_WP",0.14,0.14,-0.14,0.41,"FBD_crown"
"WP_affects_Climate",0.39,0.17,0.06,0.73,"FBD_crown"
"CS_affects_Climate",0,0,0,0,"FBD_crown"
"Climate_affects_CS",0.02,0.07,-0.13,0.16,"FBD_crown"
