"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","two",1,5,0.38,0.83,10.7,0,1,0.38
"NC uniform stem","three",1,5,0.42,0.81,10.74,0.04,0.98,0.37
"NC uniform stem","one",1,5,1.26,0.53,11.59,0.89,0.64,0.24
"NC uniform stem","four",1,5,7.64,0.02,17.97,7.27,0.03,0.01
"NC uniform crown","one",1,5,0.65,0.72,10.98,0,1,0.6
"NC uniform crown","two",1,5,2.75,0.25,13.08,2.1,0.35,0.21
"NC uniform crown","three",1,5,3.14,0.21,13.46,2.48,0.29,0.17
"NC uniform crown","four",1,5,7.8,0.02,18.12,7.14,0.03,0.02
"FBD stem","one",1,5,0.63,0.73,10.96,0,1,0.39
"FBD stem","two",1,5,0.67,0.72,10.99,0.04,0.98,0.38
"FBD stem","three",1,5,2.01,0.37,12.34,1.38,0.5,0.2
"FBD stem","four",1,5,6.02,0.05,16.34,5.39,0.07,0.03
"FBD crown","two",1,5,0.67,0.72,10.99,0,1,0.43
"FBD crown","one",1,5,0.98,0.61,11.31,0.31,0.85,0.36
"FBD crown","three",1,5,2.22,0.33,12.54,1.55,0.46,0.2
"FBD crown","four",1,5,7.55,0.02,17.87,6.88,0.03,0.01
