"phylogeny","model","k","q","C","p","CICc","CICc difference","l","w"
"NC uniform stem","three",1,5,3.31,0.19,13.64,0,1,0.71
"NC uniform stem","four",1,5,5.42,0.07,15.75,2.11,0.35,0.25
"NC uniform stem","one",1,5,9.18,0.01,19.51,5.87,0.05,0.04
"NC uniform stem","two",1,5,12.23,0,22.56,8.92,0.01,0.01
"NC uniform crown","three",1,5,3.64,0.16,13.96,0,1,0.59
"NC uniform crown","four",1,5,4.39,0.11,14.72,0.75,0.69,0.4
"NC uniform crown","one",1,5,12.17,0,22.49,8.53,0.01,0.01
"NC uniform crown","two",1,5,14.75,0,25.08,11.11,0,0
"FBD stem","three",1,5,3.1,0.21,13.43,0,1,0.71
"FBD stem","four",1,5,5.17,0.08,15.5,2.07,0.36,0.25
"FBD stem","one",1,5,9.22,0.01,19.55,6.12,0.05,0.03
"FBD stem","two",1,5,12.14,0,22.47,9.04,0.01,0.01
"FBD crown","three",1,5,3.91,0.14,14.24,0,1,0.66
"FBD crown","four",1,5,5.74,0.06,16.06,1.83,0.4,0.27
"FBD crown","one",1,5,8.72,0.01,19.05,4.81,0.09,0.06
"FBD crown","two",1,5,12.03,0,22.35,8.12,0.02,0.01
