"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Model_number","Tree"
"CS_affects_WP",1.12,0.28,0.58,1.65,"One","NCuniform_stem"
"Climate_affects_WP",0.14,0.25,-0.3,0.68,"One","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_stem"
"CS_affects_WP",1.15,0.28,0.64,1.73,"Two","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_stem"
"WP_affects_Climate",0.21,0.21,-0.21,0.58,"Two","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_stem"
"CS_affects_WP",1.15,0.28,0.67,1.84,"Three","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_stem"
"Climate_affects_CS",0.04,0.06,-0.06,0.16,"Three","NCuniform_stem"
"CS_affects_WP",1.15,0.28,0.66,1.75,"Four","NCuniform_stem"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_stem"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_Climate",0.1,0.09,-0.08,0.29,"Four","NCuniform_stem"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_stem"
"CS_affects_WP",1.09,0.27,0.59,1.7,"One","NCuniform_crown"
"Climate_affects_WP",0.04,0.24,-0.41,0.6,"One","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"One","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"One","NCuniform_crown"
"CS_affects_WP",1.11,0.27,0.65,1.71,"Two","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Two","NCuniform_crown"
"WP_affects_Climate",0.26,0.21,-0.12,0.66,"Two","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Two","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Two","NCuniform_crown"
"CS_affects_WP",1.11,0.27,0.65,1.68,"Three","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Three","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"CS_affects_Climate",0,0,0,0,"Three","NCuniform_crown"
"Climate_affects_CS",0.06,0.06,-0.07,0.18,"Three","NCuniform_crown"
"CS_affects_WP",1.11,0.27,0.65,1.77,"Four","NCuniform_crown"
"Climate_affects_WP",0,0,0,0,"Four","NCuniform_crown"
"WP_affects_Climate",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_Climate",0.11,0.09,-0.06,0.28,"Four","NCuniform_crown"
"Climate_affects_CS",0,0,0,0,"Four","NCuniform_crown"
"CS_affects_WP",1.11,0.27,0.62,1.7,"One","FBD_stem"
"Climate_affects_WP",0.08,0.24,-0.33,0.6,"One","FBD_stem"
"WP_affects_Climate",0,0,0,0,"One","FBD_stem"
"CS_affects_Climate",0,0,0,0,"One","FBD_stem"
"Climate_affects_CS",0,0,0,0,"One","FBD_stem"
"CS_affects_WP",1.13,0.27,0.66,1.71,"Two","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Two","FBD_stem"
"WP_affects_Climate",0.22,0.21,-0.17,0.61,"Two","FBD_stem"
"CS_affects_Climate",0,0,0,0,"Two","FBD_stem"
"Climate_affects_CS",0,0,0,0,"Two","FBD_stem"
"CS_affects_WP",1.13,0.27,0.64,1.74,"Three","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Three","FBD_stem"
"WP_affects_Climate",0,0,0,0,"Three","FBD_stem"
"CS_affects_Climate",0,0,0,0,"Three","FBD_stem"
"Climate_affects_CS",0.07,0.06,-0.05,0.19,"Three","FBD_stem"
"CS_affects_WP",1.13,0.27,0.65,1.7,"Four","FBD_stem"
"Climate_affects_WP",0,0,0,0,"Four","FBD_stem"
"WP_affects_Climate",0,0,0,0,"Four","FBD_stem"
"CS_affects_Climate",0.1,0.09,-0.07,0.28,"Four","FBD_stem"
"Climate_affects_CS",0,0,0,0,"Four","FBD_stem"
"CS_affects_WP",1.07,0.27,0.6,1.68,"One","FBD_crown"
"Climate_affects_WP",0.05,0.23,-0.34,0.58,"One","FBD_crown"
"WP_affects_Climate",0,0,0,0,"One","FBD_crown"
"CS_affects_Climate",0,0,0,0,"One","FBD_crown"
"Climate_affects_CS",0,0,0,0,"One","FBD_crown"
"CS_affects_WP",1.1,0.27,0.62,1.75,"Two","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Two","FBD_crown"
"WP_affects_Climate",0.22,0.21,-0.16,0.62,"Two","FBD_crown"
"CS_affects_Climate",0,0,0,0,"Two","FBD_crown"
"Climate_affects_CS",0,0,0,0,"Two","FBD_crown"
"CS_affects_WP",1.1,0.27,0.62,1.78,"Three","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Three","FBD_crown"
"WP_affects_Climate",0,0,0,0,"Three","FBD_crown"
"CS_affects_Climate",0,0,0,0,"Three","FBD_crown"
"Climate_affects_CS",0.08,0.06,-0.06,0.19,"Three","FBD_crown"
"CS_affects_WP",1.1,0.27,0.6,1.7,"Four","FBD_crown"
"Climate_affects_WP",0,0,0,0,"Four","FBD_crown"
"WP_affects_Climate",0,0,0,0,"Four","FBD_crown"
"CS_affects_Climate",0.1,0.09,-0.08,0.28,"Four","FBD_crown"
"Climate_affects_CS",0,0,0,0,"Four","FBD_crown"
