species,subfamily,colony.size,colony.size.sample.size,colony.size.ref,poly_id,TMP_avg,TMP_sd,TMP_med,TMP_cv,PRE_avg,PRE_sd,PRE_med,PRE_cv,DTR_avg,DTR_sd,DTR_med,DTR_cv
Acanthognathus_ocellatus,Myrmicinae,10.00,6,"Kaspari & Vargo, 1995",0,22.52966667,1.548297619,22.64642857,0.073702381,175.3482024,108.1121548,161.014881,0.624571429,9.440511905,1.038107143,9.313690476,0.109071429
Acromyrmex_balzani,Myrmicinae,1095.00,1,"Caldato et al., 2010",1,22.09179208,2.443029703,22.36039604,0.117683168,118.4827228,80.08317822,103.0628713,0.694980198,10.83368317,1.402465347,10.72128713,0.127435644
Acromyrmex_coronatus,Myrmicinae,85325.00,2,"Wetterer, 1999",1,21.75898204,1.718287425,21.92664671,0.08288024,154.6616527,103.1783533,136.5188623,0.691670659,10.41355689,1.302353293,10.24850299,0.123305389
Acromyrmex_landolti,Myrmicinae,1000.00,1,"Beckers et al., 1989",1,22.4241165,2.117563107,22.5868932,0.105640777,115.5004563,81.98862136,96.42815534,0.806902913,10.57353398,1.280485437,10.54368932,0.12015534
Acromyrmex_lobicornis,Myrmicinae,9053.00,1,GAGA consortium,1,17.24403409,4.625579545,17.35625,0.282795455,77.05281818,45.59648864,67.69034091,0.727454545,12.15797727,1.393784091,12.20625,0.113284091
Acromyrmex_subterraneus,Myrmicinae,4766.20,5,"Ferguson-Gow et al., 2014",1,21.52806557,2.376811475,21.73196721,0.115639344,125.277041,79.1619918,110.8827869,0.664311475,10.8562541,1.254393443,10.74139344,0.114795082
Aenictus_dentatus,Dorylinae,325000.00,2,"Schneirla, 1971; Kronauer et al., 2007",0,25.4825625,1.63590625,25.7203125,0.06828125,201.8470625,111.9829063,183.7828125,0.59,8.95475,1.0656875,8.921875,0.1166875
Aenictus_laeviceps,Dorylinae,92500.00,2,"Beckers 1989; Schneirla, 1971",0,24.43596104,2.216220779,24.76883117,0.107467532,187.642,120.4624156,166.1811688,0.683220779,9.485532468,1.50138961,9.347402597,0.153727273
Anochetus_bequaerti,Ponerinae,84.00,1,"Kaspari & Vargo, 1995",0,23.076125,1.866916667,23.36458333,0.086125,89.8915,70.09983333,73.56041667,0.876333333,11.594375,1.674958333,11.51458333,0.144916667
Anochetus_diegensis,Ponerinae,13.00,9,"Kaspari & Vargo, 1995",0,24.40107895,1.167644737,24.53486842,0.049223684,156.6812632,103.7801053,142.8934211,0.692447368,10.13731579,1.243986842,9.971052632,0.122434211
Anochetus_katonae,Ponerinae,84.00,2,"Kaspari & Vargo, 1995",0,23.73035294,1.521264706,23.87794118,0.065117647,119.6437647,90.93911765,104.8323529,0.782794118,10.34473529,1.501823529,10.30588235,0.146441176
Anochetus_levaillanti,Ponerinae,100.00,1,"Antwiki, 2015",0,18.9560566,3.94654717,19.55754717,0.215358491,38.67162264,40.33001887,24.51320755,1.070037736,14.49643396,1.687301887,14.48867925,0.116716981
Apterostigma_mayri,Myrmicinae,20.00,25,"Murakami et al., 2000",0,23.34284848,1.270787879,23.52272727,0.059757576,164.7262424,103.0788485,152.3712121,0.666181818,10.54057576,1.279393939,10.40454545,0.116848485
Atopomyrmex_mocquerysi,Myrmicinae,65000.00,1,"Holldobler & Wilson, 1990",1,23.69870423,1.757901408,23.94295775,0.07671831,98.37202817,74.78467606,83.11549296,0.846338028,11.07932394,1.527380282,11.01197183,0.136478873
Atta_laevigata,Myrmicinae,3500000.00,1,"Ferguson-Gow, 2014",1,23.62304274,1.32674359,23.76923077,0.057803419,153.6650769,102.2145812,138.1418803,0.697367521,10.41255556,1.411008547,10.25769231,0.133871795
Atta_sexdens,Myrmicinae,5833333.33,3,"Ferguson-Gow, 2014; Beckers, 1989; Jaffe et al., 2012",1,22.477664,1.980816,22.6398,0.094664,142.382592,92.400296,126.07,0.681716,10.57444,1.308048,10.4504,0.122424
Atta_texana,Myrmicinae,10000000.00,1,"Beckers et al., 1989",1,20.28657937,6.208047619,20.7797619,0.310412698,75.12003175,53.21207143,62.49166667,0.75652381,12.70307937,1.533190476,12.6718254,0.12052381
Atta_vollenweideri,Myrmicinae,5500000.00,1,"Ferguson-Gow, 2014",1,19.25127778,4.426194444,19.3875,0.233916667,84.47822222,57.20119444,72.19722222,0.723138889,12.22419444,1.428916667,12.24305556,0.115055556
Azteca_muelleri,Dolichoderinae,2583.00,2,"Nagatani et al., 2021",1,19.94585714,2.427857143,20.14761905,0.125619048,137.3022857,88.29795238,120.3952381,0.664333333,10.69309524,1.317666667,10.56666667,0.121190476
Brachymyrmex_depilis,Formicinae,111.00,2,"Geraghty et al., 2007; King & Porter, 2007",0,14.09061988,7.495116959,14.37378168,0.706651072,83.78892788,50.23615789,73.90633528,0.648536062,12.62546784,1.810912281,12.67095517,0.1448577
Brachymyrmex_patagonicus,Formicinae,550.00,1,"Keefer, 2016",0,18.40681395,3.070015504,18.5375969,0.210589147,102.7780233,78.06727907,83.36007752,0.854612403,11.58393798,1.547426357,11.60658915,0.132744186
Brachyponera_chinensis,Ponerinae,31.80,1,"Gotoh & Ito, 2008",0,15.67983099,7.198478873,16.27077465,0.558788732,138.6347676,104.5128873,110.209507,0.775943662,9.10384507,1.436915493,9.055633803,0.154859155
Brachyponera_luteipes,Ponerinae,193.00,1,"Kikuchi et al., 2007",0,22.29523636,3.387972727,22.85181818,0.249772727,145.3063909,114.3587364,118.6572727,0.821245455,9.739818182,1.845418182,9.55,0.184836364
Brachyponera_sennaarensis,Ponerinae,1082.00,14,"Dejean & Lachaud, 1994",1,24.37539344,2.125663934,24.65860656,0.090385246,83.00216393,78.63772131,58.07090164,1.068786885,12.43522951,2.082491803,12.42704918,0.163959016
Buniapone_amblyops,Ponerinae,100.00,1,GAGA consortium,0,24.97825,1.764375,25.36875,0.074291667,203.1168333,142.4547917,167.1791667,0.710291667,10.17583333,1.895416667,9.933333333,0.179125
Camponotus_compressus,Formicinae,5000.00,1,"Mysore et al., 2009",1,22.05282353,4.120558824,22.64852941,0.283558824,125.7776471,136.7809412,66.39558824,1.054205882,11.00432353,2.227676471,11.31470588,0.202617647
Camponotus_consobrinus,Formicinae,5500.00,1,"Fjerdingstad & Crozier, 2006",1,16.27746629,4.795016854,16.33511236,0.299898876,55.0154382,40.52372472,45.94578652,0.758061798,12.91873034,1.996668539,13.01853933,0.156983146
Camponotus_fellah,Formicinae,10000.00,1,GAGA consortium,1,20.66462745,6.053431373,21.15098039,0.312176471,19.51676471,23.57023529,9.765686275,1.423019608,12.22405882,1.443627451,12.3245098,0.118019608
Camponotus_festinatus,Formicinae,3000.00,1,"Jaffe et al., 2012",1,18.40163934,6.249807377,18.57540984,0.360413934,42.40751639,39.1775123,29.43196721,1.011610656,15.14027049,1.810758197,15.1875,0.120040984
Camponotus_japonicus,Formicinae,1500.00,1,GAGA consortium,1,11.51746243,9.094184971,12.33959538,-0.155606936,111.7515723,85.89564162,86.03872832,0.80665896,9.642560694,1.434554913,9.667052023,0.149202312
Camponotus_laevigatus,Formicinae,1000.00,1,"Akre et al., 1994",1,9.195817204,7.242854839,8.953763441,1.056295699,53.10004839,48.36566129,38.8733871,0.891607527,15.18511828,2.615204301,15.25080645,0.180956989
Camponotus_rufipes,Formicinae,509.00,1,"Diniz-Filho et al., 1994",1,20.61313402,2.612123711,20.84097938,0.133654639,117.7124536,76.14646392,103.0762887,0.676113402,11.03563402,1.324994845,10.93634021,0.118242268
Camponotus_sericeus,Formicinae,425.00,2,"Basalingappa et al., 1986; Beckers et al., 1989",1,24.24802312,3.093589595,24.58294798,0.133028902,65.91786127,66.18871676,42.22080925,1.179398844,12.26976879,1.943606936,12.29913295,0.158554913
Camponotus_singularis,Formicinae,1000.00,1,GAGA consortium,1,24.06251163,2.315813953,24.63023256,0.104744186,177.8282558,126.2756279,148.6895349,0.764976744,9.828627907,2.02055814,9.586046512,0.194488372
Camponotus_vicinus,Formicinae,21678.86,8,"Akre et al., 1994",1,10.15588829,7.610913514,10.10468468,1.081165766,43.53227568,38.01083964,32.41594595,0.872392793,15.31265946,2.417374775,15.36441441,0.164953153
Cardiocondyla_batesii,Myrmicinae,207.50,2,"Schrempf et al., 2005; Heatwole & Muir 1991",0,17.19581356,6.026661017,16.58644068,0.359067797,33.08776271,30.65962712,25.00762712,0.993881356,11.32832203,1.494372881,11.25084746,0.133355932
Cardiocondyla_venustula,Myrmicinae,100.00,350,"Jacobs & Heinze, 2017",0,19.95928571,3.593071429,20.74642857,0.192285714,69.76085714,69.04314286,50.86071429,1.081357143,13.57578571,1.935714286,13.51785714,0.143214286
Carebara_affinis,Myrmicinae,210.00,1,"Wang et al., 2020",1,24.60852206,2.019823529,25.03566176,0.095242647,169.2755294,123.8077132,139.0647059,0.797911765,9.879367647,1.739654412,9.73125,0.169875
Carebara_diversa,Myrmicinae,175600.00,5,"Kaspari & Vargo, 1995; Beckers et al., 1989",1,25.31134286,2.309638095,25.81333333,0.096133333,154.5165048,126.6432857,124.0057143,0.838761905,9.630371429,1.967666667,9.42,0.195885714
Carebara_urichi,Myrmicinae,438.67,3,"Holldobler & Wilson, 1990; Beckers et al., 1989",1,24.00298438,1.3848125,24.20234375,0.059796875,176.5145938,118.2652188,157.0613281,0.711960938,9.802875,1.14509375,9.623828125,0.115179688
Cataglyphis_bicolor,Formicinae,2000.00,1,"Beckers et al., 1989",1,18.564864,6.101136,18.1344,0.345824,31.36516,28.865664,23.546,1.074856,11.980528,1.545712,11.8964,0.13016
Cataglyphis_bombycina,Formicinae,3106.90,22,"Aron et al., 2016; Heatwole & Muir 1991",1,21.27983529,6.587023529,21.61588235,0.3146,9.860176471,10.4178,6.561176471,1.424776471,13.01736471,1.048141176,12.99647059,0.081870588
Cataglyphis_emmae,Formicinae,485.71,38,"Jowers et al., 2013",1,20.95281481,6.713962963,20.92222222,0.331296296,12.09807407,13.28040741,7.662962963,1.214703704,12.8302963,1.012666667,12.79444444,0.079518519
Cataglyphis_holgerseni,Formicinae,3000.00,1,"Aron et al., 2016",1,22.772125,6.0113125,23.446875,0.267125,8.5225,12.733375,2.76875,1.53275,13.0479375,1.299625,13.125,0.0995
Cataglyphis_rubra,Formicinae,1400.00,1,"Heatwole & Muir, 1991",1,20.57888571,6.535057143,20.54857143,0.3354,18.17774286,19.18602857,12.23714286,1.238885714,12.21422857,1.231885714,12.15714286,0.103142857
Cataglyphis_sabulosa,Formicinae,185.72,29,"Timmermans et al., 2008",0,23.10053846,5.897153846,23.83461538,0.261923077,14.35084615,21.28969231,3.8,1.542384615,12.24607692,1.157153846,12.34615385,0.095846154
Cataglyphis_savignyi,Formicinae,536.20,13,"Leniaud et al., 2011",1,20.8820375,5.9901625,21.09375,0.2999625,18.5060125,21.8209875,9.836875,1.3770875,12.27435,1.2943875,12.280625,0.1065
Cephalotes_minutus,Myrmicinae,150.00,1,GAGA consortium,1,24.0789542,1.505973282,24.29790076,0.064522901,150.2876641,107.5354542,130.8917939,0.754259542,10.31509924,1.263083969,10.17290076,0.120419847
Cephalotes_persimilis,Myrmicinae,508.00,1,"Powell & Peretz, 2021",1,24.00333333,2.16137037,24.33703704,0.091851852,99.30581481,79.027,80.71296296,0.813814815,11.29451852,1.495666667,11.19814815,0.131111111
