species,subfamily,colony.size,colony.size.sample.size,colony.size.ref,poly_id,TMP_avg,TMP_sd,TMP_med,TMP_cv,PRE_avg,PRE_sd,PRE_med,PRE_cv,DTR_avg,DTR_sd,DTR_med,DTR_cv
Acanthognathus_ocellatus,Myrmicinae,10.00,6,"Kaspari & Vargo, 1995",0,22.52966667,1.548297619,22.64642857,0.073702381,175.3482024,108.1121548,161.014881,0.624571429,9.440511905,1.038107143,9.313690476,0.109071429
Acanthomyrmex_ferox,Myrmicinae,53.00,2,"Holldobler & Wilson, 1990; Kaspari & Vargo, 1995",1,25.98603846,0.587269231,25.96538462,0.022538462,237.3464231,104.6274231,226.9192308,0.442615385,8.603769231,0.798730769,8.613461538,0.093192308
Acromyrmex_balzani,Myrmicinae,1095.00,1,"Caldato et al., 2010",1,22.09179208,2.443029703,22.36039604,0.117683168,118.4827228,80.08317822,103.0628713,0.694980198,10.83368317,1.402465347,10.72128713,0.127435644
Acromyrmex_coronatus,Myrmicinae,85325.00,2,"Wetterer, 1999",1,21.75898204,1.718287425,21.92664671,0.08288024,154.6616527,103.1783533,136.5188623,0.691670659,10.41355689,1.302353293,10.24850299,0.123305389
Acromyrmex_echinatior,Myrmicinae,21548.00,52,"Ferguson-Gow, 2014; Gadau et al., 2012; Dijkstra et al., 2010; GAGA consortium",1,24.36526316,1.409947368,24.62631579,0.058315789,166.9813684,126.2552632,144.0885965,0.794052632,10.00907018,1.100578947,9.772807018,0.105947368
Acromyrmex_landolti,Myrmicinae,1000.00,1,"Beckers et al., 1989",1,22.4241165,2.117563107,22.5868932,0.105640777,115.5004563,81.98862136,96.42815534,0.806902913,10.57353398,1.280485437,10.54368932,0.12015534
Acromyrmex_lobicornis,Myrmicinae,9053.00,1,GAGA consortium,1,17.24403409,4.625579545,17.35625,0.282795455,77.05281818,45.59648864,67.69034091,0.727454545,12.15797727,1.393784091,12.20625,0.113284091
Acromyrmex_octospinosus,Myrmicinae,22005.50,10,"Ferguson-Gow, 2014; Boomsma et al., 1999; Murakami et al., 2000; Wetterer, 1999; Beckers et al., 1989",1,23.99609036,0.974927711,24.09518072,0.040963855,182.5235,109.1607892,169.1451807,0.66673494,9.987584337,1.160807229,9.884036145,0.114963855
Acromyrmex_subterraneus,Myrmicinae,4766.20,5,"Ferguson-Gow et al., 2014",1,21.52806557,2.376811475,21.73196721,0.115639344,125.277041,79.1619918,110.8827869,0.664311475,10.8562541,1.254393443,10.74139344,0.114795082
Acromyrmex_versicolor,Myrmicinae,10000.00,1,"Julian & Cahan, 1999",1,18.95286957,6.626358696,18.8173913,0.36276087,21.67946739,23.602,13.53695652,1.144934783,16.2571087,1.837652174,16.325,0.113271739
Acromyrmex_volcanus,Myrmicinae,16300.00,2,"Wetterer, 1999",1,24.4773125,0.845875,24.4375,0.0346875,242.16875,149.4479375,240.9875,0.62375,7.6638125,0.6751875,7.465625,0.0873125
Adelomyrmex_biroi,Myrmicinae,10.00,1,"Wilson, 1959",0,24.27053846,0.601769231,24.39230769,0.025076923,275.7553846,75.06069231,271.0653846,0.29,10.55530769,0.522153846,10.62307692,0.053615385
Aenictus_dentatus,Dorylinae,325000.00,2,"Schneirla, 1971; Kronauer et al., 2007",0,25.4825625,1.63590625,25.7203125,0.06828125,201.8470625,111.9829063,183.7828125,0.59,8.95475,1.0656875,8.921875,0.1166875
Aenictus_laeviceps,Dorylinae,92500.00,2,"Beckers 1989; Schneirla, 1971",0,24.43596104,2.216220779,24.76883117,0.107467532,187.642,120.4624156,166.1811688,0.683220779,9.485532468,1.50138961,9.347402597,0.153727273
Allomerus_octoarticulatus,Myrmicinae,116.00,1,"Jaffe et al., 2012",0,24.85011765,1.118852941,24.96617647,0.051235294,176.2300294,106.7645,160.3808824,0.670441176,10.29217647,1.438058824,10.11470588,0.137647059
Aneuretus_simoni,Aneuretinae,61.88,8,"Beckers et al., 1989; Jayasuriya & Traniello, 1985",1,25.12842857,0.873857143,25.15714286,0.035142857,178.4978571,120.6201429,151.6928571,0.679285714,7.528285714,1.380857143,7.3,0.183285714
Anochetus_bequaerti,Ponerinae,84.00,1,"Kaspari & Vargo, 1995",0,23.076125,1.866916667,23.36458333,0.086125,89.8915,70.09983333,73.56041667,0.876333333,11.594375,1.674958333,11.51458333,0.144916667
Anochetus_diegensis,Ponerinae,13.00,9,"Kaspari & Vargo, 1995",0,24.40107895,1.167644737,24.53486842,0.049223684,156.6812632,103.7801053,142.8934211,0.692447368,10.13731579,1.243986842,9.971052632,0.122434211
Anochetus_faurei,Ponerinae,434.00,2,"Kaspari & Vargo, 1995",0,18.7494,2.8272,19.02,0.1516,78.2182,58.248,70.96,0.7492,11.404,1.6346,11.18,0.1466
Anochetus_katonae,Ponerinae,84.00,2,"Kaspari & Vargo, 1995",0,23.73035294,1.521264706,23.87794118,0.065117647,119.6437647,90.93911765,104.8323529,0.782794118,10.34473529,1.501823529,10.30588235,0.146441176
Anochetus_levaillanti,Ponerinae,100.00,1,"Antwiki, 2015",0,18.9560566,3.94654717,19.55754717,0.215358491,38.67162264,40.33001887,24.51320755,1.070037736,14.49643396,1.687301887,14.48867925,0.116716981
Anonychomyrma_scrutator,Dolichoderinae,2500.00,2,"Holldobler & Wilson, 1990; Kaspari & Vargo, 1995",0,23.57323077,0.851769231,23.73076923,0.036,229.575,77.57292308,221.4576923,0.392769231,10.72015385,0.733846154,10.83846154,0.073
Aphaenogaster_ashmeadi,Myrmicinae,218.50,2,"King & Porter, 2007; Tschinkel, 2011",0,18.87455357,6.371464286,19.11339286,0.352375,109.6874643,62.61683929,100.5348214,0.57175,12.19375,1.44225,12.18214286,0.118625
Aphaenogaster_dromedaria,Myrmicinae,100.00,1,"Wilson, 1959",0,23.79091667,0.839166667,23.89166667,0.035916667,247.4349167,102.1485,239.3,0.417916667,10.06425,0.729083333,10.15833333,0.073583333
Aphaenogaster_flemingi,Myrmicinae,300.00,1,"King & Porter, 2007",0,20.01318421,5.817236842,20.30394737,0.302657895,114.1999211,68.35765789,103.7013158,0.596421053,11.72207895,1.409131579,11.69210526,0.120684211
Aphaenogaster_floridana,Myrmicinae,116.50,2,"King & Porter, 2007; Tschinkel, 2011",0,19.63933962,6.060339623,19.88396226,0.316603774,112.0563396,64.46871698,103.0754717,0.574528302,12.30566038,1.450792453,12.29433962,0.118264151
Aphaenogaster_fulva,Myrmicinae,281.00,1,"Geraghty et al., 2007",0,14.73894493,8.001785507,15.06492754,0.607165217,99.71766087,52.09798261,91.99695652,0.524118841,12.16366667,1.547733333,12.17304348,0.128133333
Aphaenogaster_gibbosa,Myrmicinae,400.00,1,"Parr et al., 2017",0,13.28982533,5.851480349,12.5919214,0.47249345,60.06682096,42.56947598,51.26004367,0.73550655,10.15995197,1.98258952,10.18034934,0.195947598
Aphaenogaster_lamellidens,Myrmicinae,300.00,1,"King & Porter, 2007",0,16.42148718,7.512569231,16.68948718,0.488205128,104.3187641,55.73649744,96.06333333,0.535338462,12.43389744,1.483066667,12.3974359,0.119687179
Aphaenogaster_rudis,Myrmicinae,303.00,118,"Kaspari & Vargo, 1995",0,12.1117954,8.793396419,12.5443734,0.855680307,90.7075601,46.51406394,83.67557545,0.523084399,11.95959079,1.641695652,12.02186701,0.138997442
Aphaenogaster_senilis,Myrmicinae,1225.15,198,"Boulay et al., 2007; Cronin & Monnin, 2009, Maák et al. 2017",0,15.27886957,5.72006087,14.4826087,0.389913043,50.35355652,44.74955652,39.27478261,0.89653913,10.53046087,1.889382609,10.43956522,0.18006087
Aphaenogaster_smythiesii,Myrmicinae,275.00,60,"Iwanishi et al., 2003",0,12.93,8.27252,13.654,0.73356,95.42184,86.06388,65.236,0.94,10.18692,1.62088,10.274,0.16232
Aphaenogaster_subterranea,Myrmicinae,1500.00,2,GAGA consortium; Maák et al. 2017,0,11.16505398,6.456318766,10.99125964,0.710051414,69.17715938,38.81036247,63.20899743,0.568465296,9.178344473,1.925136247,9.416709512,0.210028278
