species,subfamily,colony.size,colony.size.sample.size,colony.size.ref,poly_id,TMP_avg,TMP_sd,TMP_med,TMP_cv,PRE_avg,PRE_sd,PRE_med,PRE_cv,DTR_avg,DTR_sd,DTR_med,DTR_cv
Acromyrmex_versicolor,Myrmicinae,10000.00,1,"Julian & Cahan, 1999",1,18.95286957,6.626358696,18.8173913,0.36276087,21.67946739,23.602,13.53695652,1.144934783,16.2571087,1.837652174,16.325,0.113271739
Anochetus_faurei,Ponerinae,434.00,2,"Kaspari & Vargo, 1995",0,18.7494,2.8272,19.02,0.1516,78.2182,58.248,70.96,0.7492,11.404,1.6346,11.18,0.1466
Aphaenogaster_ashmeadi,Myrmicinae,218.50,2,"King & Porter, 2007; Tschinkel, 2011",0,18.87455357,6.371464286,19.11339286,0.352375,109.6874643,62.61683929,100.5348214,0.57175,12.19375,1.44225,12.18214286,0.118625
Aphaenogaster_flemingi,Myrmicinae,300.00,1,"King & Porter, 2007",0,20.01318421,5.817236842,20.30394737,0.302657895,114.1999211,68.35765789,103.7013158,0.596421053,11.72207895,1.409131579,11.69210526,0.120684211
Aphaenogaster_floridana,Myrmicinae,116.50,2,"King & Porter, 2007; Tschinkel, 2011",0,19.63933962,6.060339623,19.88396226,0.316603774,112.0563396,64.46871698,103.0754717,0.574528302,12.30566038,1.450792453,12.29433962,0.118264151
Aphaenogaster_fulva,Myrmicinae,281.00,1,"Geraghty et al., 2007",0,14.73894493,8.001785507,15.06492754,0.607165217,99.71766087,52.09798261,91.99695652,0.524118841,12.16366667,1.547733333,12.17304348,0.128133333
Aphaenogaster_gibbosa,Myrmicinae,400.00,1,"Parr et al., 2017",0,13.28982533,5.851480349,12.5919214,0.47249345,60.06682096,42.56947598,51.26004367,0.73550655,10.15995197,1.98258952,10.18034934,0.195947598
Aphaenogaster_lamellidens,Myrmicinae,300.00,1,"King & Porter, 2007",0,16.42148718,7.512569231,16.68948718,0.488205128,104.3187641,55.73649744,96.06333333,0.535338462,12.43389744,1.483066667,12.3974359,0.119687179
Aphaenogaster_rudis,Myrmicinae,303.00,118,"Kaspari & Vargo, 1995",0,12.1117954,8.793396419,12.5443734,0.855680307,90.7075601,46.51406394,83.67557545,0.523084399,11.95959079,1.641695652,12.02186701,0.138997442
Aphaenogaster_senilis,Myrmicinae,1225.15,198,"Boulay et al., 2007; Cronin & Monnin, 2009, Maák et al. 2017",0,15.27886957,5.72006087,14.4826087,0.389913043,50.35355652,44.74955652,39.27478261,0.89653913,10.53046087,1.889382609,10.43956522,0.18006087
