species,subfamily,colony.size,colony.size.sample.size,colony.size.ref,poly_id,TMP_avg,TMP_sd,TMP_med,TMP_cv,PRE_avg,PRE_sd,PRE_med,PRE_cv,DTR_avg,DTR_sd,DTR_med,DTR_cv
Acanthomyrmex_ferox,Myrmicinae,53.00,2,"Holldobler & Wilson, 1990; Kaspari & Vargo, 1995",1,25.98603846,0.587269231,25.96538462,0.022538462,237.3464231,104.6274231,226.9192308,0.442615385,8.603769231,0.798730769,8.613461538,0.093192308
Acromyrmex_echinatior,Myrmicinae,21548.00,52,"Ferguson-Gow, 2014; Gadau et al., 2012; Dijkstra et al., 2010; GAGA consortium",1,24.36526316,1.409947368,24.62631579,0.058315789,166.9813684,126.2552632,144.0885965,0.794052632,10.00907018,1.100578947,9.772807018,0.105947368
Acromyrmex_octospinosus,Myrmicinae,22005.50,10,"Ferguson-Gow, 2014; Boomsma et al., 1999; Murakami et al., 2000; Wetterer, 1999; Beckers et al., 1989",1,23.99609036,0.974927711,24.09518072,0.040963855,182.5235,109.1607892,169.1451807,0.66673494,9.987584337,1.160807229,9.884036145,0.114963855
Acromyrmex_volcanus,Myrmicinae,16300.00,2,"Wetterer, 1999",1,24.4773125,0.845875,24.4375,0.0346875,242.16875,149.4479375,240.9875,0.62375,7.6638125,0.6751875,7.465625,0.0873125
Adelomyrmex_biroi,Myrmicinae,10.00,1,"Wilson, 1959",0,24.27053846,0.601769231,24.39230769,0.025076923,275.7553846,75.06069231,271.0653846,0.29,10.55530769,0.522153846,10.62307692,0.053615385
Allomerus_octoarticulatus,Myrmicinae,116.00,1,"Jaffe et al., 2012",0,24.85011765,1.118852941,24.96617647,0.051235294,176.2300294,106.7645,160.3808824,0.670441176,10.29217647,1.438058824,10.11470588,0.137647059
Aneuretus_simoni,Aneuretinae,61.88,8,"Beckers et al., 1989; Jayasuriya & Traniello, 1985",1,25.12842857,0.873857143,25.15714286,0.035142857,178.4978571,120.6201429,151.6928571,0.679285714,7.528285714,1.380857143,7.3,0.183285714
Anonychomyrma_scrutator,Dolichoderinae,2500.00,2,"Holldobler & Wilson, 1990; Kaspari & Vargo, 1995",0,23.57323077,0.851769231,23.73076923,0.036,229.575,77.57292308,221.4576923,0.392769231,10.72015385,0.733846154,10.83846154,0.073
Aphaenogaster_dromedaria,Myrmicinae,100.00,1,"Wilson, 1959",0,23.79091667,0.839166667,23.89166667,0.035916667,247.4349167,102.1485,239.3,0.417916667,10.06425,0.729083333,10.15833333,0.073583333
Apomyrma_stygia,Apomyrminae,64.75,2,"Shik, 2008; Holldobler & Wilson, 1990",1,26.13981818,1.278636364,26.21363636,0.050363636,122.2554545,85.06236364,111.4590909,0.728909091,9.038727273,1.500090909,8.963636364,0.166818182
Apterostigma_collare,Myrmicinae,23.98,128,"Ferguson-Gow, 2014",0,24.4545,0.999727273,24.48636364,0.040863636,219.3465,146.3039545,208.7340909,0.683954545,8.199318182,0.752545455,8.013636364,0.088909091
Apterostigma_dentigerum,Myrmicinae,104.33,3,"Ferguson-Gow, 2014; Tschinkel, 2011; Kaspari & Vargo, 1995",0,24.33714286,0.804785714,24.28571429,0.033071429,194.0453214,136.1609643,173.8107143,0.757392857,8.666678571,0.710142857,8.539285714,0.082428571
Apterostigma_urichii,Myrmicinae,23.00,1,"Ferguson-Gow, 2014",0,24.44525,0.809653846,24.47403846,0.033384615,179.7285577,104.1474808,165.7211538,0.596019231,9.389519231,1.081711538,9.295192308,0.115980769
Atta_cephalotes,Myrmicinae,1500000.00,3,"Ferguson-Gow, 2014; Gadau et al., 2012; Beckers et al., 1989",1,23.66208599,1.05333758,23.80191083,0.045531847,182.6927739,112.4926688,166.8232484,0.661738854,10.09894268,1.194089172,9.991878981,0.116850318
Atta_colombica,Myrmicinae,2154761.91,7,"Ferguson-Gow, 2014; Holldobler & Wilson, 1990; Jaffe et al., 2012 ",1,23.28598058,0.665184466,23.25485437,0.029563107,200.5156699,109.5933883,196.4703883,0.577485437,9.29738835,1.106776699,9.21407767,0.117854369
Azteca_constructor,Dolichoderinae,7707.00,1,"Marting et al., 2018",1,24.32940816,0.923408163,24.36938776,0.037877551,209.5705714,139.7418367,198.4806122,0.696020408,8.743081633,0.822326531,8.581632653,0.092816327
