valid_species_name,TMPavg_avg,PREavg_avg,DTRavg_avg,poly_id,colony_size
Acanthognathus.ocellatus,22.81411538,190.8976923,9.442403846,0,10
Acanthomyrmex.ferox,25.27077778,246.9517778,8.310111111,1,53
Acromyrmex.balzani,22.5422,119.10404,11.27872,1,1095
Acromyrmex.coronatus,22.40014754,163.6588689,10.30265574,1,85325
Acromyrmex.echinatior,24.29225,170.3995417,9.544125,1,19274.12
Acromyrmex.landolti,23.24014286,120.799,11.03271429,1,1000
Acromyrmex.octospinosus,24.35173585,196.3724717,9.471113208,1,22005.5
Acromyrmex.subterraneus,21.76862791,127.9403023,11.34546512,1,4766.2
Acromyrmex.versicolor,18.60967568,21.20881081,16.5127027,1,10000
Acromyrmex.volcanus,24.09090909,249.8477273,7.788363636,1,16300
Adelomyrmex.biroi,23.86428571,307.753,11.29714286,0,10
Aenictus.dentatus,24.89457143,183.393,9.766571429,0,325000
Aenictus.laeviceps,24.3008,228.4446,9.9266,0,92500
Allomerus.octoarticulatus,25.0869,183.22755,9.89,0,116
Amblyopone.australis,16.30678689,110.5561557,10.98340164,1,64
Aneuretus.simoni,26.04133333,201.424,6.782666667,1,40
Anochetus.bequaerti,22.37872727,93.92572727,11.80054545,0,84
Anochetus.diegensis,24.87937037,150.1101111,10.32812963,0,13
Anochetus.faurei,19.629,85.402,9.19,0,434
Anochetus.katonae,23.72688235,107.4054706,10.51523529,0,84
Anochetus.levaillanti,16.4235,44.521875,15.15725,0,100
Anonychomyrma.scrutator,22.65014286,226.6587143,11.98171429,0,2500
Aphaenogaster.ashmeadi,17.4496,106.6036,12.64706667,0,218.5
Aphaenogaster.dromedaria,23.9625,227.4925,9.751833333,0,100
Aphaenogaster.flemingi,19.27655556,115.2031111,11.95866667,0,300
Aphaenogaster.floridana,19.453,110.395125,12.78725,0,116.5
Aphaenogaster.fulva,13.20995833,95.02023611,11.91229167,0,281
Aphaenogaster.gibbosa,13.9689403,56.35861194,10.6305,0,400
Aphaenogaster.lamellidens,15.65304918,102.2101967,12.37401639,0,300
Aphaenogaster.rudis,11.81629756,92.48079512,11.77626341,0,303
Aphaenogaster.senilis,15.32472368,49.96601316,10.74259211,0,1225.15
Aphaenogaster.smythiesii,13.8735,92.83525,10.6995,0,275
Aphaenogaster.subterranea,12.00056522,67.96227174,9.410195652,0,1000
Aphaenogaster.treatae,14.69601149,99.21545977,12.2378046,0,654
Apomyrma.stygia,25.72383333,131.9665,9.2515,1,64.75
Apterostigma.collare,25.30564286,240.0484286,7.619214286,0,23.98
Apterostigma.dentigerum,24.70669231,200.3301538,8.272769231,0,104.33
Apterostigma.mayri,23.63728571,205.1665714,10.49528571,0,20
Apterostigma.urichii,26.076375,196.9259375,9.8828125,0,23
Atopomyrmex.mocquerysi,23.92611111,108.7005556,10.81033333,1,65000
Atta.cephalotes,24.10394262,202.1145164,9.682991803,1,1500000
Atta.colombica,24.96109091,246.5956818,8.528454545,1,2154761.91
Atta.laevigata,24.16709091,137.2659697,10.79336364,1,3500000
Atta.sexdens,23.2023,135.54425,10.57632,1,5833333.33
Atta.texana,20.78520588,64.65367647,12.42332353,1,1.00E+07
