species,subfamily,supercolonial,supercolonial.ref,social.parasite,social.parasite.ref,gamergates,gamergates.ref,interlineage.hybridisation.genetic.caste.determination,interlineage.hybridisation.genetic.caste.determination.ref,clonal,clonal.ref
Acromyrmex_insinuator,Myrmicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Amblyopone_australis,Amblyoponinae,0,,0,,1,"Villet, 1990",0,,0,
Anoplolepis_gracilipes,Formicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Bothroponera_kruegeri,Ponerinae,0,,0,,1,"Wildman & Crewe, 1988",0,,0,
Bothroponera_tesseronoda,Ponerinae,0,,0,,1,"Ito, 2010",0,,0,
Cardiocondyla_emeryi,Myrmicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Cardiocondyla_nuda,Myrmicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Cardiocondyla_obscurior,Myrmicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Cardiocondyla_wroughtonii,Myrmicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Cataglyphis_altisquamis,Formicinae,0,,0,,0,,0,,1,"Kuhn, 2013"
Cataglyphis_cursor,Formicinae,0,,0,,0,,0,,1,"Rabeling & Kronauer, 2013"
Cataglyphis_hispanica,Formicinae,0,,0,,0,,1,"Leniaud et al., 2012",1,"Rabeling & Kronauer, 2013"
Cataglyphis_mauritanica,Formicinae,0,,0,,0,,0,,1,"Eyer et al., 2013"
Cataglyphis_niger,Formicinae,1,"Leniaud et al., 2011",0,,0,,0,,0,
Cataglyphis_velox,Formicinae,0,,0,,0,,0,,1,"Eyer et al., 2013"
Cataglyphis_viatica,Formicinae,0,,0,,0,,0,,1,"Aron et al., 2013"
Diacamma_australe,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Diacamma_ceylonense,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Diacamma_cyaneiventre,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Diacamma_rugosum,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Dinoponera_gigantea,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Dinoponera_grandis,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Dinoponera_lucida,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Dinoponera_quadriceps,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Euponera_sikorae,Ponerinae,0,,0,,1,"Peeters & Fisher, 2016",0,,0,
Formica_aquilonia,Formicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Formica_aserva,Formicinae,0,,1,"Gray & Rabeling, 2023",0,,0,,0,
Formica_cinerea,Formicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Formica_exsecta,Formicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Formica_lugubris,Formicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Formica_obscuripes,Formicinae,1,"Hughes et al., 2008",0,,0,,0,,0,
Formica_paralugubris,Formicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Formica_polyctena,Formicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Formica_sanguinea,Formicinae,0,,1,"Ito & Higashi, 1990",0,,0,,0,
Formica_subintegra,Formicinae,0,,1,"Apple et al., 2014",0,,0,,0,
Formica_truncorum,Formicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Formicoxenus_nitidulus,Myrmicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Formicoxenus_provancheri,Myrmicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Formicoxenus_quebecensis,Myrmicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Hagensia_havilandi,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Harpagoxenus_canadensis,Myrmicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Harpagoxenus_sublaevis,Myrmicinae,0,,1,"Buschinger, 2009",0,,0,,0,
Harpegnathos_saltator,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Holcoponera_striatula,Ectatomminae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Lasius_neglectus,Formicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Lasius_sakagamii,Formicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Leptogenys_peuqueti,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Leptogenys_schwabi,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Linepithema_humile,Dolichoderinae,1,"Helanterä, 2022",0,,0,,0,,0,
Metapone_vincimus,Myrmicinae,0,,0,,1,"Holldobler et al., 2002",0,,0,
Monomorium_pharaonis,Myrmicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Mycocepurus_castrator,Myrmicinae,0,,1,"Rabeling, C. & Bacci, M. 2010",0,,0,,0,
Mycocepurus_smithii,Myrmicinae,0,,0,,0,,0,,1,"Rabeling & Kronauer, 2013"
Myrmecocystus_depilis,Formicinae,0,,1,"Kronauer et al., 2003",0,,0,,0,
Myrmecia_pyriformis,Myrmeciinae,0,,0,,1,"Dietemann et al., 2004",0,,0,
Myrmecina_nipponica,Myrmicinae,0,,0,,0,,0,,1,"Masuko, 2014"
Myrmelachista_schumanni,Formicinae,1,"Malé et al., 2020",0,,0,,0,,0,
Myrmica_rubra,Myrmicinae,1,"Helanterä, 2022",1,"Schar & Nash, 2014",0,,0,,0,
Myrmica_sulcinodis,Myrmicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Nylanderia_fulva,Formicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Ooceraea_biroi,Dorylinae,0,,0,,0,,0,,1,"Rabeling & Kronauer, 2013"
Ophthalmopone_berthoudi,Ponerinae,0,,0,,1,"Monnin & Peeters, 2008",0,,0,
Paratrechina_longicornis,Formicinae,1,"Helanterä, 2022",0,,0,,0,,0,
Pheidole_megacephala,Myrmicinae,1,"Helanterä, 2022",0,,0,,0,,0,
